 Óbitos por Causas Externas - Brasil
Óbitos p/Residênc por Região/Unidade da Federação e Local ocorrência
Período:2022
"Região/Unidade da Federação";"Hospital";"Outro estabelecimento de saúde";"Domicílio";"Via pública";"Outros";"Ignorado";"Total"
"Região Norte";4143;253;2289;4696;3164;50;14595
".. Rondônia";468;28;286;496;311;10;1599
".. Acre";113;-;124;158;124;3;522
".. Amazonas";1098;29;486;1078;526;5;3222
".. Roraima";175;1;97;117;221;-;611
".. Pará";1668;158;908;2182;1495;23;6434
".. Amapá";203;14;140;131;201;2;691
".. Tocantins";418;23;248;534;286;7;1516
"Região Nordeste";14721;1156;7359;15782;8700;95;47813
".. Maranhão";1477;32;838;1621;873;13;4854
".. Piauí";803;13;529;897;390;11;2643
".. Ceará";2236;160;1317;2747;1718;3;8181
".. Rio Grande do Norte";744;66;450;927;303;19;2509
".. Paraíba";953;32;534;991;558;2;3070
".. Pernambuco";2728;467;1221;2722;1357;7;8502
".. Alagoas";725;29;331;855;542;2;2484
".. Sergipe";800;13;326;685;97;1;1922
".. Bahia";4255;344;1813;4337;2862;37;13648
"Região Sudeste";26241;2446;8309;12061;5694;97;54848
".. Minas Gerais";5941;583;2475;3263;1708;51;14021
".. Espírito Santo";1549;154;496;1080;508;29;3816
".. Rio de Janeiro";6944;770;1225;2432;1302;6;12679
".. São Paulo";11807;939;4113;5286;2176;11;24332
"Região Sul";8150;463;4739;5934;3251;36;22573
".. Paraná";3598;291;1836;2702;1470;4;9901
".. Santa Catarina";1790;57;1063;1176;673;3;4762
".. Rio Grande do Sul";2762;115;1840;2056;1108;29;7910
"Região Centro-Oeste";4979;373;2241;3615;1882;26;13116
".. Mato Grosso do Sul";683;38;475;645;416;4;2261
".. Mato Grosso";1164;103;553;1054;538;9;3421
".. Goiás";2465;178;940;1532;799;12;5926
".. Distrito Federal";667;54;273;384;129;1;1508
"Total";58234;4691;24937;42088;22691;304;152945
 Fonte: MS/SVSA/CGIAE - Sistema de Informações sobre Mortalidade - SIM
 Notas:
 
 Dados finais disponíveis até 2024 - data de extração 02/12/2025.
 Dados de 2025 - Preliminares - data de extração 28/07/2026.
 Dados de 2026 - 1a prévia - data de extração 01/06/2026.
 
