 Óbitos por Causas Externas - Brasil
Óbitos p/Residênc por Região/Unidade da Federação e Faixa Etária
Período:2018
"Região/Unidade da Federação";"Menor 1 ano";"1 a 4 anos";"5 a 9 anos";"10 a 14 anos";"15 a 19 anos";"20 a 29 anos";"30 a 39 anos";"40 a 49 anos";"50 a 59 anos";"60 a 69 anos";"70 a 79 anos";"80 anos e mais";"Idade ignorada";"Total"
"Região Norte";136;189;129;248;1818;4712;3136;1899;1196;730;412;451;226;15282
".. Rondônia";11;18;7;17;105;286;255;218;152;103;59;48;11;1290
".. Acre";8;7;6;19;97;210;144;81;53;32;10;20;2;689
".. Amazonas";34;56;33;58;375;932;647;315;192;119;69;77;21;2928
".. Roraima";39;10;7;18;98;210;118;69;53;37;14;22;3;698
".. Pará";27;75;59;100;882;2460;1580;967;566;315;176;187;175;7569
".. Amapá";5;11;7;12;117;233;107;68;48;20;16;8;-;652
".. Tocantins";12;12;10;24;144;381;285;181;132;104;68;89;14;1456
"Região Nordeste";256;357;233;631;5682;13832;9510;6097;4237;2793;2262;2917;372;49179
".. Maranhão";29;74;53;88;472;1303;1036;593;385;285;215;240;38;4811
".. Piauí";13;19;11;29;177;580;497;343;258;193;130;160;62;2472
".. Ceará";27;51;39;128;1146;2651;1785;1181;835;502;375;442;24;9186
".. Rio Grande do Norte";10;24;8;37;442;938;614;361;282;165;104;158;1;3144
".. Paraíba";20;19;13;26;314;737;569;438;318;183;160;234;5;3036
".. Pernambuco";83;64;36;98;890;2257;1583;1088;763;507;496;648;126;8639
".. Alagoas";12;17;12;46;354;784;520;341;214;144;114;125;-;2683
".. Sergipe";14;10;14;24;219;640;410;255;169;105;84;167;1;2112
".. Bahia";48;79;47;155;1668;3942;2496;1497;1013;709;584;743;115;13096
"Região Sudeste";395;377;247;516;4141;10257;8412;6601;5689;4641;4143;6607;855;52881
".. Minas Gerais";54;100;80;139;948;2443;2243;1757;1515;1171;939;1352;41;12782
".. Espírito Santo";16;17;19;42;320;665;557;453;431;279;228;367;15;3409
".. Rio de Janeiro";140;92;59;128;1541;3531;2089;1387;1199;1122;1015;1853;549;14705
".. São Paulo";185;168;89;207;1332;3618;3523;3004;2544;2069;1961;3035;250;21985
"Região Sul";132;160;97;182;1474;4198;3467;2727;2446;1898;1564;2363;114;20822
".. Paraná";58;82;43;77;599;1773;1469;1199;873;696;642;976;62;8549
".. Santa Catarina";24;20;18;34;275;869;687;573;621;409;296;423;2;4251
".. Rio Grande do Sul";50;58;36;71;600;1556;1311;955;952;793;626;964;50;8022
"Região Centro-Oeste";100;120;88;164;1133;2892;2353;1725;1316;877;741;1046;95;12650
".. Mato Grosso do Sul";30;27;15;36;148;417;343;271;239;139;106;210;4;1985
".. Mato Grosso";28;25;25;38;228;670;580;448;360;204;153;136;27;2922
".. Goiás";32;59;33;73;625;1476;1138;796;581;438;366;511;57;6185
".. Distrito Federal";10;9;15;17;132;329;292;210;136;96;116;189;7;1558
"Total";1019;1203;794;1741;14248;35891;26878;19049;14884;10939;9122;13384;1662;150814
 Fonte: MS/SVSA/CGIAE - Sistema de Informações sobre Mortalidade - SIM
 Notas:
 
 Dados finais disponíveis até 2024 - data de extração 02/12/2025.
 Dados de 2025 - Preliminares - data de extração 28/07/2026.
 Dados de 2026 - 1a prévia - data de extração 01/06/2026.
 
