 Óbitos por Causas Externas - Brasil
Óbitos p/Residênc por Região/Unidade da Federação e Local ocorrência
Período:2023
"Região/Unidade da Federação";"Hospital";"Outro estabelecimento de saúde";"Domicílio";"Via pública";"Outros";"Ignorado";"Total"
"Região Norte";4036;235;2335;4553;3127;37;14323
".. Rondônia";469;19;252;496;295;6;1537
".. Acre";103;-;182;137;135;-;557
".. Amazonas";954;25;521;1040;570;2;3112
".. Roraima";179;6;117;92;203;1;598
".. Pará";1685;157;864;2031;1413;28;6178
".. Amapá";231;8;163;206;225;-;833
".. Tocantins";415;20;236;551;286;-;1508
"Região Nordeste";15383;1191;7506;15706;8628;66;48480
".. Maranhão";1563;37;892;1731;919;13;5155
".. Piauí";890;11;539;943;351;9;2743
".. Ceará";2321;161;1499;2516;1804;5;8306
".. Rio Grande do Norte";722;51;436;763;267;14;2253
".. Paraíba";935;38;502;1056;471;1;3003
".. Pernambuco";2833;488;1203;2920;1253;3;8700
".. Alagoas";927;38;345;877;503;1;2691
".. Sergipe";869;16;305;558;111;1;1860
".. Bahia";4323;351;1785;4342;2949;19;13769
"Região Sudeste";26762;2741;8211;12130;5999;89;55932
".. Minas Gerais";6193;581;2553;3499;1793;52;14671
".. Espírito Santo";1651;150;565;1032;548;13;3959
".. Rio de Janeiro";6837;910;1048;2504;1543;10;12852
".. São Paulo";12081;1100;4045;5095;2115;14;24450
"Região Sul";8204;408;4679;5736;3274;40;22341
".. Paraná";3522;252;1710;2549;1331;5;9369
".. Santa Catarina";1880;61;1054;1227;720;2;4944
".. Rio Grande do Sul";2802;95;1915;1960;1223;33;8028
"Região Centro-Oeste";5052;359;2338;3514;1836;24;13123
".. Mato Grosso do Sul";686;29;462;671;383;1;2232
".. Mato Grosso";1222;109;618;1072;532;6;3559
".. Goiás";2470;168;970;1435;765;16;5824
".. Distrito Federal";674;53;288;336;156;1;1508
"Total";59437;4934;25069;41639;22864;256;154199
 Fonte: MS/SVSA/CGIAE - Sistema de Informações sobre Mortalidade - SIM
 Notas:
 
 Dados finais disponíveis até 2024 - data de extração 02/12/2025.
 Dados de 2025 - Preliminares - data de extração 28/07/2026.
 Dados de 2026 - 1a prévia - data de extração 01/06/2026.
 
