 Óbitos por Causas Externas - Brasil
Óbitos p/Residênc por Região/Unidade da Federação e Faixa Etária
Período:2025
"Região/Unidade da Federação";"Menor 1 ano";"1 a 4 anos";"5 a 9 anos";"10 a 14 anos";"15 a 19 anos";"20 a 29 anos";"30 a 39 anos";"40 a 49 anos";"50 a 59 anos";"60 a 69 anos";"70 a 79 anos";"80 anos e mais";"Idade ignorada";"Total"
"Região Norte";175;230;127;221;1044;3567;2796;2176;1318;1020;681;726;101;14182
".. Rondônia";10;25;16;19;97;325;313;244;204;153;90;78;8;1582
".. Acre";14;12;5;6;42;132;134;91;59;40;13;22;2;572
".. Amazonas";59;52;32;51;209;709;480;390;207;160;102;96;-;2547
".. Roraima";31;14;10;15;54;155;114;104;48;55;34;29;1;664
".. Pará";48;96;51;96;464;1700;1322;980;593;439;316;337;87;6529
".. Amapá";5;14;2;9;83;216;138;80;27;29;19;31;-;653
".. Tocantins";8;17;11;25;95;330;295;287;180;144;107;133;3;1635
"Região Nordeste";281;338;197;414;3488;11588;9130;7313;4950;3974;3231;4406;211;49521
".. Maranhão";33;53;38;65;426;1391;1173;874;509;357;270;336;26;5551
".. Piauí";16;20;11;32;163;541;534;494;334;261;208;260;-;2874
".. Ceará";47;48;31;63;646;1999;1823;1410;1000;749;579;739;8;9142
".. Rio Grande do Norte";15;16;9;16;153;562;424;373;242;216;170;241;5;2442
".. Paraíba";11;26;11;21;188;662;554;459;349;252;231;278;7;3049
".. Pernambuco";83;56;29;61;485;1969;1529;1216;842;783;715;911;110;8789
".. Alagoas";14;18;10;31;203;767;555;380;275;266;156;181;-;2856
".. Sergipe";12;18;6;7;105;360;327;250;179;154;125;227;3;1773
".. Bahia";50;83;52;118;1119;3337;2211;1857;1220;936;777;1233;52;13045
"Região Sudeste";480;458;214;336;2363;9166;8529;8223;6400;6290;6098;9534;354;58445
".. Minas Gerais";75;123;58;97;588;2454;2413;2343;1824;1731;1499;2290;49;15544
".. Espírito Santo";55;29;15;28;218;622;590;567;443;444;347;662;33;4053
".. Rio de Janeiro";147;112;59;61;709;2547;1892;1547;1149;1304;1340;2259;161;13287
".. São Paulo";203;194;82;150;848;3543;3634;3766;2984;2811;2912;4323;111;25561
"Região Sul";144;151;94;164;851;3330;3574;3126;2626;2353;2140;3342;47;21942
".. Paraná";60;59;30;68;368;1524;1616;1358;1063;865;817;1452;20;9300
".. Santa Catarina";31;48;26;45;179;772;911;761;604;567;469;628;10;5051
".. Rio Grande do Sul";53;44;38;51;304;1034;1047;1007;959;921;854;1262;17;7591
"Região Centro-Oeste";110;152;88;117;681;2305;2176;1996;1470;1178;1078;1410;32;12793
".. Mato Grosso do Sul";28;36;22;27;123;410;391;367;236;183;169;222;6;2220
".. Mato Grosso";31;39;30;38;239;602;573;474;361;303;213;227;1;3131
".. Goiás";40;65;28;47;273;1038;945;927;690;549;535;730;22;5889
".. Distrito Federal";11;12;8;5;46;255;267;228;183;143;161;231;3;1553
"Total";1190;1329;720;1252;8427;29956;26205;22834;16764;14815;13228;19418;745;156883
 Fonte: MS/SVSA/CGIAE - Sistema de Informações sobre Mortalidade - SIM
 Notas:
 
 Dados finais disponíveis até 2024 - data de extração 02/12/2025.
 Dados de 2025 - Preliminares - data de extração 28/07/2026.
 Dados de 2026 - 1a prévia - data de extração 01/06/2026.
 
