 Óbitos por Causas Externas - Brasil
Óbitos p/Residênc por Região/Unidade da Federação e Grande Grupo CID10
Período:2023
"Região/Unidade da Federação";"V01-V99 Acidentes de transporte";"W00-X59 Outras causas externas de lesões acident";"X60-X84 Lesões autoprovocadas voluntariamente";"X85-Y09 Agressões";"Y10-Y34 Eventos cuja intenção é indeterminada";"Y35-Y36 Intervenções legais e operações de guerra";"Y40-Y84 Complic assistência médica e cirúrgica";"Y85-Y89 Seqüelas de causas externas";"Total"
"Região Norte";3586;2628;1438;5819;568;201;51;32;14323
".. Rondônia";485;256;156;547;72;5;13;3;1537
".. Acre";97;98;118;216;27;1;-;-;557
".. Amazonas";492;582;339;1555;130;-;1;13;3112
".. Roraima";161;106;63;208;46;11;3;-;598
".. Pará";1692;1169;526;2499;231;43;8;10;6178
".. Amapá";92;110;73;385;20;131;21;1;833
".. Tocantins";567;307;163;409;42;10;5;5;1508
"Região Nordeste";11231;9442;4151;19052;3148;912;439;105;48480
".. Maranhão";1548;944;460;2005;115;3;71;9;5155
".. Piauí";1003;549;371;724;68;1;7;20;2743
".. Ceará";1855;1467;799;2980;1160;12;29;4;8306
".. Rio Grande do Norte";421;449;283;914;84;41;58;3;2253
".. Paraíba";840;600;367;1078;67;1;48;2;3003
".. Pernambuco";1651;2130;613;3685;537;12;50;22;8700
".. Alagoas";639;506;187;1145;98;49;65;2;2691
".. Sergipe";464;406;154;692;116;6;18;4;1860
".. Bahia";2810;2391;917;5829;903;787;93;39;13769
"Região Sudeste";11290;17073;5991;10669;8702;622;1336;249;55932
".. Minas Gerais";3344;4063;1996;2772;2167;23;217;89;14671
".. Espírito Santo";818;1398;300;1154;224;7;28;30;3959
".. Rio de Janeiro";2017;3722;908;3826;1459;466;438;16;12852
".. São Paulo";5111;7890;2787;2917;4852;126;653;114;24450
"Região Sul";5925;6359;3769;4575;1015;278;229;191;22341
".. Paraná";2697;2535;1143;1979;581;235;90;109;9369
".. Santa Catarina";1470;1531;964;620;238;38;54;29;4944
".. Rio Grande do Sul";1758;2293;1662;1976;196;5;85;53;8028
"Região Centro-Oeste";3906;3244;1653;3328;463;291;159;79;13123
".. Mato Grosso do Sul";687;483;343;494;108;90;17;10;2232
".. Mato Grosso";1233;771;319;1074;108;31;13;10;3559
".. Goiás";1669;1546;711;1439;195;144;69;51;5824
".. Distrito Federal";317;444;280;321;52;26;60;8;1508
"Total";35938;38746;17002;43443;13896;2304;2214;656;154199
 Fonte: MS/SVSA/CGIAE - Sistema de Informações sobre Mortalidade - SIM
 Notas:
 
 Dados finais disponíveis até 2024 - data de extração 02/12/2025.
 Dados de 2025 - Preliminares - data de extração 28/07/2026.
 Dados de 2026 - 1a prévia - data de extração 01/06/2026.
 
