 Mortalidade - Brasil
Óbitos p/Residênc por Região/Unidade da Federação e Capítulo CID-10
Período:2022
"Região/Unidade da Federação";"Cap I";"Cap II";"Cap III";"Cap IV";"Cap V";"Cap VI";"Cap VII";"Cap VIII";"Cap IX";"Cap X";"Cap XI";"Cap XII";"Cap XIII";"Cap XIV";"Cap XV";"Cap XVI";"Cap XVII";"Cap XVIII";"Cap XX";"Total"
"Região Norte";8984;12887;538;6157;643;2232;1;10;22020;10485;4296;470;374;2563;234;2261;1143;6659;14595;96552
".. Rondônia";1022;1528;56;667;79;248;-;-;2286;975;382;22;31;319;11;195;88;769;1599;10277
".. Acre";365;583;34;225;23;77;-;-;910;629;152;13;15;109;5;113;61;323;522;4159
".. Amazonas";1927;2864;124;1425;97;486;-;5;4016;1877;906;77;90;465;55;540;330;1649;3222;20155
".. Roraima";292;455;19;181;6;84;-;-;675;320;136;20;25;115;21;87;60;139;611;3246
".. Pará";4272;5689;244;2786;264;1036;1;2;10704;5319;2110;290;181;1210;109;1053;445;3350;6434;45499
".. Amapá";350;510;23;220;20;68;-;-;826;460;142;10;13;108;12;131;62;200;691;3846
".. Tocantins";756;1258;38;653;154;233;-;3;2603;905;468;38;19;237;21;142;97;229;1516;9370
"Região Nordeste";30808;54548;2146;29024;5930;12194;13;73;104694;44971;20474;3167;1767;11923;526;5773;2967;24321;47813;403132
".. Maranhão";2736;4695;234;3261;410;868;1;11;11750;4013;2226;267;134;947;85;800;430;2214;4854;39936
".. Piauí";1727;3084;135;1916;311;755;2;2;7287;2637;1245;169;62;570;53;370;209;1166;2643;24343
".. Ceará";5296;9954;297;3277;1133;2563;2;14;16426;8618;3451;567;294;1844;79;774;403;1491;8181;64664
".. Rio Grande do Norte";1904;3680;140;1690;239;863;-;9;6673;2771;1196;214;183;842;35;288;149;834;2509;24219
".. Paraíba";2687;4489;132;2520;381;961;-;5;8623;4025;1519;220;136;1105;24;441;219;1848;3070;32405
".. Pernambuco";5711;9616;319;5311;1340;2172;2;9;17215;8764;3846;752;433;2742;73;869;518;3817;8502;72011
".. Alagoas";1996;2657;126;1876;299;555;1;5;6731;2351;1121;148;100;657;35;355;138;1487;2484;23122
".. Sergipe";989;1884;86;1149;317;484;1;5;3463;1515;739;128;46;490;33;291;149;1100;1922;14791
".. Bahia";7762;14489;677;8024;1500;2973;4;13;26526;10277;5131;702;379;2726;109;1585;752;10364;13648;107641
"Região Sudeste";61924;113545;3451;37316;8138;26223;11;123;184600;81611;34176;4477;3390;30446;562;6482;3851;40295;54848;695469
".. Minas Gerais";14093;26214;913;9138;3038;6535;2;31;39147;19660;7969;894;867;6224;125;1588;939;11217;14021;162615
".. Espírito Santo";2157;4663;100;1892;375;1420;3;8;7552;2441;1253;152;153;1088;35;301;231;352;3816;27992
".. Rio de Janeiro";13774;22806;901;8035;1335;4291;3;25;38509;16856;6039;1238;704;7738;161;1279;687;13746;12679;150806
".. São Paulo";31900;59862;1537;18251;3390;13977;3;59;99392;42654;18915;2193;1666;15396;241;3314;1994;14980;24332;354056
"Região Sul";20132;46762;830;15647;3333;12304;3;22;62490;27473;11692;948;948;7784;177;2063;1517;8523;22573;245221
".. Paraná";7192;15876;327;5388;1377;4348;1;10;23502;10069;4921;364;411;2679;69;808;547;2018;9901;89808
".. Santa Catarina";4124;10329;169;3041;392;2131;1;4;13523;5985;2397;217;199;1689;41;533;359;1421;4762;51317
".. Rio Grande do Sul";8816;20557;334;7218;1564;5825;1;8;25465;11419;4374;367;338;3416;67;722;611;5084;7910;104096
"Região Centro-Oeste";9952;16267;519;5697;1211;3479;1;16;26350;11533;5847;452;506;3587;141;1450;969;2799;13116;103892
".. Mato Grosso do Sul";1714;3090;89;1030;95;619;1;6;5656;2648;1120;116;93;797;29;232;166;672;2261;20434
".. Mato Grosso";2105;3151;125;1505;241;600;-;-;5048;1940;1068;63;80;654;34;404;256;1036;3421;21731
".. Goiás";4749;7241;225;2397;500;1550;-;8;12325;5645;2765;204;247;1723;57;622;362;724;5926;47270
".. Distrito Federal";1384;2785;80;765;375;710;-;2;3321;1300;894;69;86;413;21;192;185;367;1508;14457
"Total";131800;244009;7484;93841;19255;56432;29;244;400154;176073;76485;9514;6985;56303;1640;18029;10447;82597;152945;1544266
 Fonte: MS/SVSA/CGIAE - Sistema de Informações sobre Mortalidade - SIM
 Notas:
 
 Dados finais disponíveis até 2024 - data de extração 02/12/2025.
 Dados de 2025 - Preliminares - data de extração 28/07/2026.
 Dados de 2026 - 1a prévia - data de extração 01/06/2026.
 
