 Mortalidade - Brasil
Óbitos p/Residênc por Região/Unidade da Federação e Faixa Etária
Período:2025
"Região/Unidade da Federação";"Menor 1 ano";"1 a 4 anos";"5 a 9 anos";"10 a 14 anos";"15 a 19 anos";"20 a 29 anos";"30 a 39 anos";"40 a 49 anos";"50 a 59 anos";"60 a 69 anos";"70 a 79 anos";"80 anos e mais";"Idade ignorada";"Total"
"Região Norte";4199;864;442;559;1576;5406;6044;8359;11148;16439;19436;24252;189;98913
".. Rondônia";295;60;38;43;132;471;575;820;1276;1980;2218;2636;15;10559
".. Acre";245;49;17;25;67;220;280;365;473;699;790;1004;5;4239
".. Amazonas";1130;216;118;122;342;1193;1234;1850;2421;3326;3862;4559;2;20375
".. Roraima";264;84;33;40;75;222;236;298;359;541;604;610;2;3368
".. Pará";1781;344;195;272;724;2527;2892;3850;5135;7698;9397;11768;161;46744
".. Amapá";218;44;13;21;107;316;271;341;459;622;684;892;-;3988
".. Tocantins";266;67;28;36;129;457;556;835;1025;1573;1881;2783;4;9640
"Região Nordeste";8930;1444;885;1188;4803;16276;19336;29295;42230;64038;81729;125736;386;396276
".. Maranhão";1276;225;146;170;642;2098;2441;3411;4150;6306;8290;11735;43;40933
".. Piauí";562;98;49;75;251;795;1156;1884;2316;3558;4721;7755;1;23221
".. Ceará";1203;178;118;161;815;2647;3299;4439;6415;9630;12963;22019;13;63900
".. Rio Grande do Norte";455;60;48;69;224;801;979;1559;2466;3821;4825;8033;10;23350
".. Paraíba";627;102;70;73;278;1016;1286;2039;3113;4829;6495;10605;14;30547
".. Pernambuco";1451;275;143;178;677;2711;3251;5005;7886;12082;15348;21341;162;70510
".. Alagoas";573;90;57;73;302;1063;1180;1743;2644;4115;4922;6170;4;22936
".. Sergipe";442;63;35;43;145;540;707;1085;1625;2463;3020;4407;5;14580
".. Bahia";2341;353;219;346;1469;4605;5037;8130;11615;17234;21145;33671;134;106299
"Região Sudeste";10515;1827;1092;1271;4004;16023;23760;42159;71084;128161;162934;232587;797;696214
".. Minas Gerais";2521;448;269;310;940;3853;5654;10048;16587;28476;35902;54692;72;159772
".. Espírito Santo";614;105;61;65;304;840;1155;1990;3169;5279;6311;9462;46;29401
".. Rio de Janeiro";2183;375;223;252;1051;4115;5078;8681;14935;29192;36835;48987;377;152284
".. São Paulo";5197;899;539;644;1709;7215;11873;21440;36393;65214;83886;119446;302;354757
"Região Sul";3533;572;386;464;1337;5310;8043;13262;23763;43996;57961;79255;94;237976
".. Paraná";1465;230;151;185;572;2326;3341;5354;9372;15824;20746;28206;44;87816
".. Santa Catarina";929;163;101;105;288;1226;1929;3080;5494;9920;12534;16345;12;52126
".. Rio Grande do Sul";1139;179;134;174;477;1758;2773;4828;8897;18252;24681;34704;38;98034
"Região Centro-Oeste";2727;512;313;328;1002;3552;4928;8073;12518;18957;22680;29560;59;105209
".. Mato Grosso do Sul";525;103;73;70;189;642;899;1468;2369;3727;4370;5599;9;20043
".. Mato Grosso";817;161;99;92;315;913;1236;1891;2796;4247;4755;5716;11;23049
".. Goiás";1052;198;111;135;406;1569;2147;3606;5671;8571;10290;13221;35;47012
".. Distrito Federal";333;50;30;31;92;428;646;1108;1682;2412;3265;5024;4;15105
"Total";29904;5219;3118;3810;12722;46567;62111;101148;160743;271591;344740;491390;1525;1534588
 Fonte: MS/SVSA/CGIAE - Sistema de Informações sobre Mortalidade - SIM
 Notas:
 
 Dados finais disponíveis até 2024 - data de extração 02/12/2025.
 Dados de 2025 - Preliminares - data de extração 28/07/2026.
 Dados de 2026 - 1a prévia - data de extração 01/06/2026.
 
