 Óbitos fetais - Brasil
Óbitos p/Residênc por Região/Unidade da Federação e Sexo
Período:2020
"Região/Unidade da Federação";"Masc";"Fem";"Ign";"Total"
"Região Norte";1812;1661;89;3562
".. Rondônia";119;117;7;243
".. Acre";98;85;5;188
".. Amazonas";469;437;15;921
".. Roraima";66;71;6;143
".. Pará";831;752;35;1618
".. Amapá";112;88;12;212
".. Tocantins";117;111;9;237
"Região Nordeste";4941;4390;300;9631
".. Maranhão";693;660;22;1375
".. Piauí";305;211;21;537
".. Ceará";723;635;33;1391
".. Rio Grande do Norte";253;223;57;533
".. Paraíba";332;304;15;651
".. Pernambuco";740;631;53;1424
".. Alagoas";319;268;9;596
".. Sergipe";196;181;8;385
".. Bahia";1380;1277;82;2739
"Região Sudeste";5489;4740;352;10581
".. Minas Gerais";1349;1110;78;2537
".. Espírito Santo";260;227;20;507
".. Rio de Janeiro";1298;1165;100;2563
".. São Paulo";2582;2238;154;4974
"Região Sul";1537;1274;70;2881
".. Paraná";577;466;20;1063
".. Santa Catarina";409;340;16;765
".. Rio Grande do Sul";551;468;34;1053
"Região Centro-Oeste";1226;1053;59;2338
".. Mato Grosso do Sul";243;223;5;471
".. Mato Grosso";299;232;13;544
".. Goiás";500;428;24;952
".. Distrito Federal";184;170;17;371
"Total";15005;13118;870;28993
 Fonte: MS/SVSA/CGIAE - Sistema de Informações sobre Mortalidade - SIM
 Notas:
 
 Dados finais disponíveis até 2024 - data de extração 02/12/2025.
 Dados de 2025 - Preliminares - data de extração 28/07/2026.
 Dados de 2026 - 1a prévia - data de extração 01/06/2026.
 
