 Óbitos fetais - Brasil
Óbitos p/Residênc por Região/Unidade da Federação e Local ocorrência
Período:2026
"Região/Unidade da Federação";"Hospital";"Outro estabelecimento de saúde";"Domicílio";"Via pública";"Outros";"Ignorado";"Total"
"Região Norte";989;8;93;6;19;8;1123
".. Rondônia";63;-;3;1;-;-;67
".. Acre";48;-;3;1;1;-;53
".. Amazonas";235;-;40;-;8;2;285
".. Roraima";49;1;6;-;1;2;59
".. Pará";469;7;34;2;8;1;521
".. Amapá";44;-;2;-;-;1;47
".. Tocantins";81;-;5;2;1;2;91
"Região Nordeste";2541;39;78;21;42;11;2732
".. Maranhão";321;4;19;5;19;1;369
".. Piauí";154;1;8;-;5;1;169
".. Ceará";340;4;8;2;2;1;357
".. Rio Grande do Norte";113;2;3;-;-;-;118
".. Paraíba";179;-;6;1;-;1;187
".. Pernambuco";388;13;8;5;3;1;418
".. Alagoas";172;2;2;1;7;-;184
".. Sergipe";102;-;1;-;-;2;105
".. Bahia";772;13;23;7;6;4;825
"Região Sudeste";3371;81;64;11;9;15;3551
".. Minas Gerais";762;7;24;3;2;11;809
".. Espírito Santo";161;11;3;1;2;-;178
".. Rio de Janeiro";690;5;10;3;-;2;710
".. São Paulo";1758;58;27;4;5;2;1854
"Região Sul";1064;12;31;5;5;1;1118
".. Paraná";445;9;16;1;1;-;472
".. Santa Catarina";284;-;9;-;4;-;297
".. Rio Grande do Sul";335;3;6;4;-;1;349
"Região Centro-Oeste";791;5;28;1;6;3;834
".. Mato Grosso do Sul";151;1;7;-;1;-;160
".. Mato Grosso";186;1;5;-;3;1;196
".. Goiás";323;3;11;1;1;-;339
".. Distrito Federal";131;-;5;-;1;2;139
"Total";8756;145;294;44;81;38;9358
 Fonte: MS/SVSA/CGIAE - Sistema de Informações sobre Mortalidade - SIM
 Notas:
 
 Dados finais disponíveis até 2024 - data de extração 02/12/2025.
 Dados de 2025 - Preliminares - data de extração 28/07/2026.
 Dados de 2026 - 1a prévia - data de extração 01/06/2026.
 
