 Óbitos fetais - Brasil
Óbitos p/Residênc por Região/Unidade da Federação e Sexo
Período:2025
"Região/Unidade da Federação";"Masc";"Fem";"Ign";"Total"
"Região Norte";1721;1453;84;3258
".. Rondônia";90;100;6;196
".. Acre";72;63;3;138
".. Amazonas";512;396;13;921
".. Roraima";85;49;6;140
".. Pará";784;697;34;1515
".. Amapá";63;50;7;120
".. Tocantins";115;98;15;228
"Região Nordeste";3977;3551;272;7800
".. Maranhão";570;524;22;1116
".. Piauí";241;226;12;479
".. Ceará";496;460;31;987
".. Rio Grande do Norte";185;187;31;403
".. Paraíba";254;227;11;492
".. Pernambuco";597;524;34;1155
".. Alagoas";251;212;22;485
".. Sergipe";165;165;11;341
".. Bahia";1218;1026;98;2342
"Região Sudeste";4695;4082;300;9077
".. Minas Gerais";1147;983;86;2216
".. Espírito Santo";274;239;8;521
".. Rio de Janeiro";1040;871;69;1980
".. São Paulo";2234;1989;137;4360
"Região Sul";1393;1237;82;2712
".. Paraná";561;469;22;1052
".. Santa Catarina";387;349;22;758
".. Rio Grande do Sul";445;419;38;902
"Região Centro-Oeste";1149;1028;49;2226
".. Mato Grosso do Sul";210;214;3;427
".. Mato Grosso";265;242;8;515
".. Goiás";494;412;25;931
".. Distrito Federal";180;160;13;353
"Total";12935;11351;787;25073
 Fonte: MS/SVSA/CGIAE - Sistema de Informações sobre Mortalidade - SIM
 Notas:
 
 Dados finais disponíveis até 2024 - data de extração 02/12/2025.
 Dados de 2025 - Preliminares - data de extração 28/07/2026.
 Dados de 2026 - 1a prévia - data de extração 01/06/2026.
 
