 Óbitos fetais - Brasil
Óbitos p/Residênc por Região/Unidade da Federação e Local ocorrência
Período:2018
"Região/Unidade da Federação";"Hospital";"Outro estabelecimento de saúde";"Domicílio";"Via pública";"Outros";"Ignorado";"Total"
"Região Norte";3139;35;286;22;70;56;3608
".. Rondônia";244;-;10;2;-;2;258
".. Acre";166;2;9;-;1;4;182
".. Amazonas";719;2;125;2;24;14;886
".. Roraima";115;-;11;-;3;-;129
".. Pará";1483;25;101;14;35;28;1686
".. Amapá";189;5;18;-;4;7;223
".. Tocantins";223;1;12;4;3;1;244
"Região Nordeste";9514;188;299;70;137;163;10371
".. Maranhão";1417;17;58;7;30;27;1556
".. Piauí";598;9;22;3;6;5;643
".. Ceará";1327;2;48;6;29;71;1483
".. Rio Grande do Norte";465;6;11;1;5;2;490
".. Paraíba";607;2;15;1;16;9;650
".. Pernambuco";1462;17;30;17;19;9;1554
".. Alagoas";585;1;31;3;7;4;631
".. Sergipe";389;-;3;4;-;-;396
".. Bahia";2664;134;81;28;25;36;2968
"Região Sudeste";10706;154;242;46;64;33;11245
".. Minas Gerais";2556;24;65;14;18;22;2699
".. Espírito Santo";455;16;5;-;7;2;485
".. Rio de Janeiro";2639;22;64;9;8;5;2747
".. São Paulo";5056;92;108;23;31;4;5314
"Região Sul";2927;25;96;16;21;13;3098
".. Paraná";1082;13;23;3;13;-;1134
".. Santa Catarina";721;9;32;5;2;4;773
".. Rio Grande do Sul";1124;3;41;8;6;9;1191
"Região Centro-Oeste";2224;28;80;12;18;6;2368
".. Mato Grosso do Sul";396;2;19;2;7;-;426
".. Mato Grosso";503;5;20;5;3;3;539
".. Goiás";931;18;30;3;7;2;991
".. Distrito Federal";394;3;11;2;1;1;412
"Total";28510;430;1003;166;310;271;30690
 Fonte: MS/SVSA/CGIAE - Sistema de Informações sobre Mortalidade - SIM
 Notas:
 
 Dados finais disponíveis até 2024 - data de extração 02/12/2025.
 Dados de 2025 - Preliminares - data de extração 28/07/2026.
 Dados de 2026 - 1a prévia - data de extração 01/06/2026.
 
