 Óbitos fetais - Brasil
Óbitos p/Residênc por Região/Unidade da Federação e Capítulo CID-10
Período:2024
"Região/Unidade da Federação";"Cap I";"Cap XVI";"Cap XVII";"Total"
"Região Norte";11;2872;163;3046
".. Rondônia";-;167;19;186
".. Acre";1;144;9;154
".. Amazonas";1;742;41;784
".. Roraima";1;143;5;149
".. Pará";6;1352;60;1418
".. Amapá";2;121;7;130
".. Tocantins";-;203;22;225
"Região Nordeste";92;7037;468;7597
".. Maranhão";5;1082;41;1128
".. Piauí";1;387;31;419
".. Ceará";8;916;62;986
".. Rio Grande do Norte";7;372;26;405
".. Paraíba";7;431;25;463
".. Pernambuco";32;1033;110;1175
".. Alagoas";13;490;26;529
".. Sergipe";3;253;24;280
".. Bahia";16;2073;123;2212
"Região Sudeste";194;7935;732;8861
".. Minas Gerais";46;1985;186;2217
".. Espírito Santo";4;415;29;448
".. Rio de Janeiro";119;1677;141;1937
".. São Paulo";25;3858;376;4259
"Região Sul";27;2411;270;2708
".. Paraná";7;946;108;1061
".. Santa Catarina";10;657;72;739
".. Rio Grande do Sul";10;808;90;908
"Região Centro-Oeste";47;1941;164;2152
".. Mato Grosso do Sul";4;373;29;406
".. Mato Grosso";9;466;36;511
".. Goiás";18;819;59;896
".. Distrito Federal";16;283;40;339
"Total";371;22196;1797;24364
 Fonte: MS/SVSA/CGIAE - Sistema de Informações sobre Mortalidade - SIM
 Notas:
 
 Dados finais disponíveis até 2024 - data de extração 02/12/2025.
 Dados de 2025 - Preliminares - data de extração 28/07/2026.
 Dados de 2026 - 1a prévia - data de extração 01/06/2026.
 
