 Óbitos fetais - Brasil
Óbitos p/Residênc por Região/Unidade da Federação e Sexo
Período:2018
"Região/Unidade da Federação";"Masc";"Fem";"Ign";"Total"
"Região Norte";1881;1655;72;3608
".. Rondônia";140;114;4;258
".. Acre";101;80;1;182
".. Amazonas";432;444;10;886
".. Roraima";60;66;3;129
".. Pará";915;737;34;1686
".. Amapá";108;106;9;223
".. Tocantins";125;108;11;244
"Região Nordeste";5493;4596;282;10371
".. Maranhão";793;714;49;1556
".. Piauí";334;285;24;643
".. Ceará";822;633;28;1483
".. Rio Grande do Norte";258;211;21;490
".. Paraíba";349;290;11;650
".. Pernambuco";846;670;38;1554
".. Alagoas";321;289;21;631
".. Sergipe";197;193;6;396
".. Bahia";1573;1311;84;2968
"Região Sudeste";5722;5230;293;11245
".. Minas Gerais";1399;1231;69;2699
".. Espírito Santo";247;230;8;485
".. Rio de Janeiro";1376;1286;85;2747
".. São Paulo";2700;2483;131;5314
"Região Sul";1602;1432;64;3098
".. Paraná";594;513;27;1134
".. Santa Catarina";388;374;11;773
".. Rio Grande do Sul";620;545;26;1191
"Região Centro-Oeste";1248;1080;40;2368
".. Mato Grosso do Sul";239;183;4;426
".. Mato Grosso";275;258;6;539
".. Goiás";526;451;14;991
".. Distrito Federal";208;188;16;412
"Total";15946;13993;751;30690
 Fonte: MS/SVSA/CGIAE - Sistema de Informações sobre Mortalidade - SIM
 Notas:
 
 Dados finais disponíveis até 2024 - data de extração 02/12/2025.
 Dados de 2025 - Preliminares - data de extração 28/07/2026.
 Dados de 2026 - 1a prévia - data de extração 01/06/2026.
 
