 Óbitos fetais - Brasil
Óbitos p/Residênc por Região/Unidade da Federação e Duração gestação
Período:2016
"Região/Unidade da Federação";"Menos de 22 semanas";"22 a 27 semanas";"28 a 31 semanas";"32 a 36 semanas";"37 a 41 semanas";"42 semanas e mais";"Ignorado";"Total"
"Região Norte";276;644;511;784;820;43;322;3400
".. Rondônia";19;55;48;54;49;1;20;246
".. Acre";15;28;32;30;49;5;16;175
".. Amazonas";54;192;126;204;247;18;63;904
".. Roraima";17;18;24;28;17;-;14;118
".. Pará";134;263;221;370;349;18;167;1522
".. Amapá";20;28;24;38;51;-;26;187
".. Tocantins";17;60;36;60;58;1;16;248
"Região Nordeste";566;1871;1453;2365;2527;94;1165;10041
".. Maranhão";96;216;201;328;479;31;123;1474
".. Piauí";30;116;95;124;176;7;70;618
".. Ceará";70;271;229;358;336;8;112;1384
".. Rio Grande do Norte";53;113;82;147;99;2;57;553
".. Paraíba";23;124;123;173;169;4;51;667
".. Pernambuco";63;274;207;359;346;15;259;1523
".. Alagoas";21;82;62;127;132;6;93;523
".. Sergipe";21;73;46;97;105;4;23;369
".. Bahia";189;602;408;652;685;17;377;2930
"Região Sudeste";739;2672;1942;2775;2232;31;1006;11397
".. Minas Gerais";221;682;431;651;576;8;189;2758
".. Espírito Santo";23;87;84;143;127;2;27;493
".. Rio de Janeiro";144;580;486;691;555;8;224;2688
".. São Paulo";351;1323;941;1290;974;13;566;5458
"Região Sul";165;797;531;821;678;6;173;3171
".. Paraná";48;275;208;303;252;2;58;1146
".. Santa Catarina";45;205;126;215;162;-;28;781
".. Rio Grande do Sul";72;317;197;303;264;4;87;1244
"Região Centro-Oeste";123;497;348;619;504;6;104;2201
".. Mato Grosso do Sul";30;90;71;115;94;2;24;426
".. Mato Grosso";32;129;79;140;123;1;25;529
".. Goiás";45;177;138;250;196;2;43;851
".. Distrito Federal";16;101;60;114;91;1;12;395
"Total";1869;6481;4785;7364;6761;180;2770;30210
 Fonte: MS/SVSA/CGIAE - Sistema de Informações sobre Mortalidade - SIM
 Notas:
 
 Dados finais disponíveis até 2024 - data de extração 02/12/2025.
 Dados de 2025 - Preliminares - data de extração 28/07/2026.
 Dados de 2026 - 1a prévia - data de extração 01/06/2026.
 
