 Óbitos fetais - Brasil
Óbitos p/Residênc por Região/Unidade da Federação e Local ocorrência
Período:2016
"Região/Unidade da Federação";"Hospital";"Outro estabelecimento de saúde";"Domicílio";"Via pública";"Outros";"Ignorado";"Total"
"Região Norte";2981;35;229;12;88;55;3400
".. Rondônia";233;1;10;-;2;-;246
".. Acre";158;4;9;1;2;1;175
".. Amazonas";749;1;97;1;38;18;904
".. Roraima";97;-;10;-;6;5;118
".. Pará";1347;25;93;8;24;25;1522
".. Amapá";168;2;3;1;10;3;187
".. Tocantins";229;2;7;1;6;3;248
"Região Nordeste";9248;120;292;73;134;174;10041
".. Maranhão";1377;11;49;7;12;18;1474
".. Piauí";571;3;23;6;12;3;618
".. Ceará";1183;2;57;9;47;86;1384
".. Rio Grande do Norte";511;10;18;1;5;8;553
".. Paraíba";630;-;15;3;8;11;667
".. Pernambuco";1431;36;30;11;10;5;1523
".. Alagoas";485;2;21;3;7;5;523
".. Sergipe";353;-;4;6;2;4;369
".. Bahia";2707;56;75;27;31;34;2930
"Região Sudeste";10841;150;234;49;88;35;11397
".. Minas Gerais";2620;10;73;13;22;20;2758
".. Espírito Santo";453;14;20;2;3;1;493
".. Rio de Janeiro";2563;28;54;8;26;9;2688
".. São Paulo";5205;98;87;26;37;5;5458
"Região Sul";3026;14;95;11;17;8;3171
".. Paraná";1101;12;28;-;4;1;1146
".. Santa Catarina";750;1;19;6;5;-;781
".. Rio Grande do Sul";1175;1;48;5;8;7;1244
"Região Centro-Oeste";2046;24;78;10;30;13;2201
".. Mato Grosso do Sul";393;6;16;3;8;-;426
".. Mato Grosso";481;3;23;2;16;4;529
".. Goiás";804;10;25;2;4;6;851
".. Distrito Federal";368;5;14;3;2;3;395
"Total";28142;343;928;155;357;285;30210
 Fonte: MS/SVSA/CGIAE - Sistema de Informações sobre Mortalidade - SIM
 Notas:
 
 Dados finais disponíveis até 2024 - data de extração 02/12/2025.
 Dados de 2025 - Preliminares - data de extração 28/07/2026.
 Dados de 2026 - 1a prévia - data de extração 01/06/2026.
 
