 Óbitos fetais - Brasil
Óbitos p/Residênc por Região/Unidade da Federação e Sexo
Período:2023
"Região/Unidade da Federação";"Masc";"Fem";"Ign";"Total"
"Região Norte";1725;1540;59;3324
".. Rondônia";99;94;6;199
".. Acre";68;57;2;127
".. Amazonas";477;406;12;895
".. Roraima";79;75;1;155
".. Pará";803;712;30;1545
".. Amapá";86;75;5;166
".. Tocantins";113;121;3;237
"Região Nordeste";4371;3682;275;8328
".. Maranhão";686;523;23;1232
".. Piauí";222;216;12;450
".. Ceará";586;498;34;1118
".. Rio Grande do Norte";184;177;38;399
".. Paraíba";258;246;9;513
".. Pernambuco";685;526;36;1247
".. Alagoas";293;240;18;551
".. Sergipe";183;153;14;350
".. Bahia";1274;1103;91;2468
"Região Sudeste";4990;4430;301;9721
".. Minas Gerais";1186;1074;79;2339
".. Espírito Santo";237;245;7;489
".. Rio de Janeiro";1059;947;80;2086
".. São Paulo";2508;2164;135;4807
"Região Sul";1453;1303;84;2840
".. Paraná";564;530;22;1116
".. Santa Catarina";375;358;21;754
".. Rio Grande do Sul";514;415;41;970
"Região Centro-Oeste";1228;1036;68;2332
".. Mato Grosso do Sul";241;193;5;439
".. Mato Grosso";323;253;8;584
".. Goiás";493;435;31;959
".. Distrito Federal";171;155;24;350
"Total";13767;11991;787;26545
 Fonte: MS/SVSA/CGIAE - Sistema de Informações sobre Mortalidade - SIM
 Notas:
 
 Dados finais disponíveis até 2024 - data de extração 02/12/2025.
 Dados de 2025 - Preliminares - data de extração 28/07/2026.
 Dados de 2026 - 1a prévia - data de extração 01/06/2026.
 
