 Óbitos fetais - Brasil
Óbitos p/Residênc por Região/Unidade da Federação e Duração gestação
Período:2026
"Região/Unidade da Federação";"Menos de 22 semanas";"22 a 27 semanas";"28 a 31 semanas";"32 a 36 semanas";"37 a 41 semanas";"42 semanas e mais";"Ignorado";"Total"
"Região Norte";128;292;175;274;196;6;52;1123
".. Rondônia";8;18;12;15;12;-;2;67
".. Acre";4;12;10;11;12;-;4;53
".. Amazonas";26;72;40;78;56;3;10;285
".. Roraima";7;11;12;14;11;1;3;59
".. Pará";62;133;86;134;79;2;25;521
".. Amapá";6;14;7;7;9;-;4;47
".. Tocantins";15;32;8;15;17;-;4;91
"Região Nordeste";346;701;377;637;487;3;181;2732
".. Maranhão";33;66;59;95;87;1;28;369
".. Piauí";17;48;19;46;35;-;4;169
".. Ceará";41;92;52;106;45;1;20;357
".. Rio Grande do Norte";18;35;15;23;19;-;8;118
".. Paraíba";20;64;19;38;30;-;16;187
".. Pernambuco";37;115;61;95;80;1;29;418
".. Alagoas";27;45;18;45;28;-;21;184
".. Sergipe";14;23;15;26;24;-;3;105
".. Bahia";139;213;119;163;139;-;52;825
"Região Sudeste";500;1056;540;744;462;2;247;3551
".. Minas Gerais";111;224;112;194;103;-;65;809
".. Espírito Santo";11;52;38;42;21;-;14;178
".. Rio de Janeiro";98;207;121;154;92;-;38;710
".. São Paulo";280;573;269;354;246;2;130;1854
"Região Sul";148;355;177;237;138;-;63;1118
".. Paraná";68;166;67;100;46;-;25;472
".. Santa Catarina";33;92;53;62;43;-;14;297
".. Rio Grande do Sul";47;97;57;75;49;-;24;349
"Região Centro-Oeste";129;253;122;191;106;1;32;834
".. Mato Grosso do Sul";23;34;31;45;24;1;2;160
".. Mato Grosso";19;72;26;43;33;-;3;196
".. Goiás";63;103;48;72;39;-;14;339
".. Distrito Federal";24;44;17;31;10;-;13;139
"Total";1251;2657;1391;2083;1389;12;575;9358
 Fonte: MS/SVSA/CGIAE - Sistema de Informações sobre Mortalidade - SIM
 Notas:
 
 Dados finais disponíveis até 2024 - data de extração 02/12/2025.
 Dados de 2025 - Preliminares - data de extração 28/07/2026.
 Dados de 2026 - 1a prévia - data de extração 01/06/2026.
 
