 Óbitos de mulheres em idade fértil e óbitos maternos - Brasil
Óbitos mulheres idade fértil por Região/Unidade da Federação e Tipo causa obstétr
Período:2017
"Região/Unidade da Federação";"Morte materna obstétrica direta";"Morte materna obstétrica indireta";"Morte materna obstétrica não especificada";"Total"
"Região Norte";187;343;6;536
".. Rondônia";15;35;-;50
".. Acre";7;8;-;15
".. Amazonas";40;71;5;116
".. Roraima";5;7;-;12
".. Pará";100;190;1;291
".. Amapá";6;11;-;17
".. Tocantins";14;21;-;35
"Região Nordeste";385;776;14;1175
".. Maranhão";73;113;3;189
".. Piauí";30;30;-;60
".. Ceará";65;86;2;153
".. Rio Grande do Norte";17;48;-;65
".. Paraíba";23;39;1;63
".. Pernambuco";55;170;2;227
".. Alagoas";13;44;-;57
".. Sergipe";16;22;-;38
".. Bahia";93;224;6;323
"Região Sudeste";430;1209;31;1670
".. Minas Gerais";85;172;6;263
".. Espírito Santo";20;60;-;80
".. Rio de Janeiro";111;445;9;565
".. São Paulo";214;532;16;762
"Região Sul";90;650;8;748
".. Paraná";27;173;3;203
".. Santa Catarina";22;142;1;165
".. Rio Grande do Sul";41;335;4;380
"Região Centro-Oeste";80;221;1;302
".. Mato Grosso do Sul";12;40;-;52
".. Mato Grosso";26;54;1;81
".. Goiás";28;96;-;124
".. Distrito Federal";14;31;-;45
"Total";1172;3199;60;4431
 Fonte: MS/SVSA/CGIAE - Sistema de Informações sobre Mortalidade - SIM
 Notas:
 
 Dados finais disponíveis até 2024 - data de extração 02/12/2025.
 Dados de 2025 - Preliminares - data de extração 28/07/2026.
 Dados de 2026 - 1a prévia - data de extração 01/06/2026.
 
