 Óbitos de mulheres em idade fértil e óbitos maternos - Brasil
Óbitos mulheres idade fértil por Região/Unidade da Federação e Faixa Etária
Período:2020
"Região/Unidade da Federação";"10 a 14 anos";"15 a 19 anos";"20 a 29 anos";"30 a 39 anos";"40 a 49 anos";"Total"
"Região Norte";253;460;1224;1935;2972;6844
".. Rondônia";22;28;95;181;300;626
".. Acre";12;26;57;90;131;316
".. Amazonas";61;113;279;411;713;1577
".. Roraima";15;29;43;89;108;284
".. Pará";119;221;569;912;1315;3136
".. Amapá";12;18;83;98;172;383
".. Tocantins";12;25;98;154;233;522
"Região Nordeste";503;1128;3194;5809;10368;21002
".. Maranhão";66;164;431;723;1152;2536
".. Piauí";39;63;184;324;555;1165
".. Ceará";81;184;569;928;1472;3234
".. Rio Grande do Norte";20;52;162;321;549;1104
".. Paraíba";31;78;192;383;729;1413
".. Pernambuco";105;192;540;948;1981;3766
".. Alagoas";27;67;173;350;681;1298
".. Sergipe";13;32;116;224;382;767
".. Bahia";121;296;827;1608;2867;5719
"Região Sudeste";502;1234;4293;8415;16667;31111
".. Minas Gerais";129;267;876;1905;3586;6763
".. Espírito Santo";28;66;205;400;769;1468
".. Rio de Janeiro";105;313;1105;2127;4286;7936
".. São Paulo";240;588;2107;3983;8026;14944
"Região Sul";181;359;1390;2506;4673;9109
".. Paraná";83;156;562;952;1822;3575
".. Santa Catarina";43;75;324;573;1026;2041
".. Rio Grande do Sul";55;128;504;981;1825;3493
"Região Centro-Oeste";121;284;854;1623;2895;5777
".. Mato Grosso do Sul";27;56;142;288;506;1019
".. Mato Grosso";43;68;221;378;658;1368
".. Goiás";40;130;373;723;1287;2553
".. Distrito Federal";11;30;118;234;444;837
"Total";1560;3465;10955;20288;37575;73843
 Fonte: MS/SVSA/CGIAE - Sistema de Informações sobre Mortalidade - SIM
 Notas:
 
 Dados finais disponíveis até 2024 - data de extração 02/12/2025.
 Dados de 2025 - Preliminares - data de extração 28/07/2026.
 Dados de 2026 - 1a prévia - data de extração 01/06/2026.
 
