 Óbitos de mulheres em idade fértil e óbitos maternos - Brasil
Óbitos mulheres idade fértil por Região/Unidade da Federação e Faixa Etária
Período:2026
"Região/Unidade da Federação";"10 a 14 anos";"15 a 19 anos";"20 a 29 anos";"30 a 39 anos";"40 a 49 anos";"Total"
"Região Norte";90;129;398;639;1043;2299
".. Rondônia";9;9;30;69;88;205
".. Acre";5;6;12;22;46;91
".. Amazonas";16;27;116;153;227;539
".. Roraima";7;6;14;21;40;88
".. Pará";42;57;177;287;505;1068
".. Amapá";3;14;22;38;31;108
".. Tocantins";8;10;27;49;106;200
"Região Nordeste";167;325;1038;1820;3618;6968
".. Maranhão";34;58;130;231;436;889
".. Piauí";11;20;65;107;191;394
".. Ceará";16;43;162;285;539;1045
".. Rio Grande do Norte";10;19;50;108;220;407
".. Paraíba";7;19;81;118;272;497
".. Pernambuco";25;52;177;279;608;1141
".. Alagoas";8;16;67;106;214;411
".. Sergipe";7;17;48;78;150;300
".. Bahia";49;81;258;508;988;1884
"Região Sudeste";175;353;1381;2571;5132;9612
".. Minas Gerais";43;76;284;533;1158;2094
".. Espírito Santo";12;17;68;120;256;473
".. Rio de Janeiro";38;92;317;558;1186;2191
".. São Paulo";82;168;712;1360;2532;4854
"Região Sul";71;122;440;859;1668;3160
".. Paraná";34;60;191;356;639;1280
".. Santa Catarina";17;29;107;221;418;792
".. Rio Grande do Sul";20;33;142;282;611;1088
"Região Centro-Oeste";53;83;310;504;964;1914
".. Mato Grosso do Sul";11;12;57;89;166;335
".. Mato Grosso";12;19;71;142;241;485
".. Goiás";24;39;137;202;422;824
".. Distrito Federal";6;13;45;71;135;270
"Total";556;1012;3567;6393;12425;23953
 Fonte: MS/SVSA/CGIAE - Sistema de Informações sobre Mortalidade - SIM
 Notas:
 
 Dados finais disponíveis até 2024 - data de extração 02/12/2025.
 Dados de 2025 - Preliminares - data de extração 28/07/2026.
 Dados de 2026 - 1a prévia - data de extração 01/06/2026.
 
