 Óbitos por Causas Externas - Brasil
Óbitos p/Residênc por Região/Unidade da Federação e Local ocorrência
Período:2019
"Região/Unidade da Federação";"Hospital";"Outro estabelecimento de saúde";"Domicílio";"Via pública";"Outros";"Ignorado";"Total"
"Região Norte";3976;257;2272;4417;3013;120;14055
".. Rondônia";411;12;253;413;220;5;1314
".. Acre";132;-;159;183;143;8;625
".. Amazonas";1066;62;473;842;583;4;3030
".. Roraima";186;4;130;93;176;2;591
".. Pará";1633;157;878;2230;1492;97;6487
".. Amapá";173;11;124;184;138;1;631
".. Tocantins";375;11;255;472;261;3;1377
"Região Nordeste";14309;960;6523;15406;6979;107;44284
".. Maranhão";1570;54;706;1433;740;11;4514
".. Piauí";739;8;416;760;326;12;2261
".. Ceará";2071;92;1065;2548;1040;10;6826
".. Rio Grande do Norte";789;40;443;1025;284;14;2595
".. Paraíba";950;13;372;901;427;3;2666
".. Pernambuco";2498;459;1256;2756;1193;27;8189
".. Alagoas";826;5;259;922;368;3;2383
".. Sergipe";726;3;333;815;80;-;1957
".. Bahia";4140;286;1673;4246;2521;27;12893
"Região Sudeste";24627;2358;6947;11555;6570;76;52133
".. Minas Gerais";5186;595;2026;3310;1961;35;13113
".. Espírito Santo";1387;107;457;958;378;15;3302
".. Rio de Janeiro";7482;912;969;2389;2208;9;13969
".. São Paulo";10572;744;3495;4898;2023;17;21749
"Região Sul";7453;332;4046;5525;2954;19;20329
".. Paraná";3256;195;1451;2296;1183;7;8388
".. Santa Catarina";1531;33;867;1236;657;5;4329
".. Rio Grande do Sul";2666;104;1728;1993;1114;7;7612
"Região Centro-Oeste";4356;322;1916;3576;1801;28;11999
".. Mato Grosso do Sul";588;32;334;546;410;-;1910
".. Mato Grosso";971;76;411;875;448;3;2784
".. Goiás";2106;194;953;1709;843;24;5829
".. Distrito Federal";691;20;218;446;100;1;1476
"Total";54721;4229;21704;40479;21317;350;142800
 Fonte: MS/SVSA/CGIAE - Sistema de Informações sobre Mortalidade - SIM
 Notas:
 
 Dados finais disponíveis até 2024 - data de extração 02/12/2025.
 Dados de 2025 - Preliminares - data de extração 28/07/2026.
 Dados de 2026 - 1a prévia - data de extração 01/06/2026.
 
