 Óbitos por Causas Externas - Brasil
Óbitos p/Residênc por Região/Unidade da Federação e Faixa Etária
Período:2024
"Região/Unidade da Federação";"Menor 1 ano";"1 a 4 anos";"5 a 9 anos";"10 a 14 anos";"15 a 19 anos";"20 a 29 anos";"30 a 39 anos";"40 a 49 anos";"50 a 59 anos";"60 a 69 anos";"70 a 79 anos";"80 anos e mais";"Idade ignorada";"Total"
"Região Norte";148;235;126;187;1103;3748;2934;2165;1396;920;585;648;92;14287
".. Rondônia";11;23;13;17;95;345;334;254;210;121;88;70;11;1592
".. Acre";5;15;5;9;51;146;113;94;58;31;21;20;1;569
".. Amazonas";41;64;30;47;246;860;694;456;242;157;87;88;7;3019
".. Roraima";28;10;9;12;34;121;120;84;50;40;27;21;-;556
".. Pará";44;96;53;80;498;1734;1254;968;594;398;255;304;65;6343
".. Amapá";9;13;4;7;80;240;133;74;46;39;23;33;-;701
".. Tocantins";10;14;12;15;99;302;286;235;196;134;84;112;8;1507
"Região Nordeste";245;353;218;421;3716;12364;9355;7354;5131;3772;3025;4231;303;50488
".. Maranhão";46;77;41;68;452;1379;1203;857;490;366;235;315;44;5573
".. Piauí";12;25;17;25;171;574;553;497;346;261;208;233;10;2932
".. Ceará";28;38;25;70;649;2181;1725;1371;1033;686;532;672;31;9041
".. Rio Grande do Norte";11;15;6;20;113;511;402;355;292;227;168;226;8;2354
".. Paraíba";14;24;14;22;220;710;567;465;392;243;212;305;3;3191
".. Pernambuco";63;61;28;57;608;2143;1583;1149;846;687;619;874;148;8866
".. Alagoas";23;15;16;28;220;790;524;403;289;226;158;187;-;2879
".. Sergipe";6;14;8;11;106;425;301;249;206;138;132;227;-;1823
".. Bahia";42;84;63;120;1177;3651;2497;2008;1237;938;761;1192;59;13829
"Região Sudeste";474;384;244;344;2563;9483;8577;7920;6548;6061;5927;9089;428;58042
".. Minas Gerais";66;97;60;97;688;2563;2379;2279;1861;1696;1477;2144;45;15452
".. Espírito Santo";52;23;20;27;242;697;556;541;467;400;376;570;53;4024
".. Rio de Janeiro";145;86;56;70;700;2468;1818;1468;1164;1216;1285;2170;193;12839
".. São Paulo";211;178;108;150;933;3755;3824;3632;3056;2749;2789;4205;137;25727
"Região Sul";168;184;93;155;967;3738;3677;3314;2828;2591;2165;3192;67;23139
".. Paraná";76;88;47;61;445;1728;1658;1429;1142;992;832;1357;26;9881
".. Santa Catarina";32;38;18;41;189;780;879;751;659;604;432;636;19;5078
".. Rio Grande do Sul";60;58;28;53;333;1230;1140;1134;1027;995;901;1199;22;8180
"Região Centro-Oeste";132;150;71;113;728;2603;2391;2175;1606;1245;994;1315;55;13578
".. Mato Grosso do Sul";36;27;20;28;134;475;397;355;254;231;141;201;1;2300
".. Mato Grosso";35;45;15;27;297;787;633;608;431;276;214;219;11;3598
".. Goiás";48;57;25;46;246;1100;1038;952;684;600;497;687;43;6023
".. Distrito Federal";13;21;11;12;51;241;323;260;237;138;142;208;-;1657
"Total";1167;1306;752;1220;9077;31936;26934;22928;17509;14589;12696;18475;945;159534
 Fonte: MS/SVSA/CGIAE - Sistema de Informações sobre Mortalidade - SIM
 Notas:
 
 Dados finais disponíveis até 2024 - data de extração 02/12/2025.
 Dados de 2025 - Preliminares - data de extração 28/07/2026.
 Dados de 2026 - 1a prévia - data de extração 01/06/2026.
 
