 Óbitos por Causas Externas - Brasil
Óbitos p/Residênc por Região/Unidade da Federação e Faixa Etária
Período:2026
"Região/Unidade da Federação";"Menor 1 ano";"1 a 4 anos";"5 a 9 anos";"10 a 14 anos";"15 a 19 anos";"20 a 29 anos";"30 a 39 anos";"40 a 49 anos";"50 a 59 anos";"60 a 69 anos";"70 a 79 anos";"80 anos e mais";"Idade ignorada";"Total"
"Região Norte";48;81;27;61;327;1106;839;647;426;315;191;230;26;4324
".. Rondônia";4;5;2;1;23;92;95;84;47;44;31;32;2;462
".. Acre";5;4;-;7;12;36;35;28;17;13;3;7;3;170
".. Amazonas";20;24;7;14;53;218;169;89;73;57;37;41;3;805
".. Roraima";2;3;4;7;13;42;25;29;17;14;3;10;-;169
".. Pará";12;33;9;28;170;563;388;310;195;121;71;90;16;2006
".. Amapá";1;6;1;2;30;56;48;26;20;11;8;10;-;219
".. Tocantins";4;6;4;2;26;99;79;81;57;55;38;40;2;493
"Região Nordeste";98;119;74;128;1190;3661;2797;2389;1610;1350;1089;1457;63;16025
".. Maranhão";11;24;8;21;166;480;394;291;192;125;95;114;6;1927
".. Piauí";6;6;6;9;50;189;148;162;119;88;67;100;-;950
".. Ceará";18;17;7;15;158;542;494;423;278;292;196;268;-;2708
".. Rio Grande do Norte";3;5;5;5;73;204;125;110;76;59;41;79;4;789
".. Paraíba";8;6;7;4;89;244;172;181;100;82;92;101;1;1087
".. Pernambuco";24;17;12;24;161;572;445;390;296;264;209;268;45;2727
".. Alagoas";7;9;7;7;66;203;157;121;93;73;68;60;-;871
".. Sergipe";2;6;1;3;43;158;135;76;65;59;53;78;-;679
".. Bahia";19;29;21;40;384;1069;727;635;391;308;268;389;7;4287
"Região Sudeste";134;140;84;125;786;2826;2661;2710;2088;1998;1963;3047;105;18667
".. Minas Gerais";16;33;32;32;175;647;661;660;516;482;488;750;13;4505
".. Espírito Santo";18;11;5;7;67;204;204;202;158;173;107;179;3;1338
".. Rio de Janeiro";39;32;15;31;247;806;604;513;400;411;440;691;46;4275
".. São Paulo";61;64;32;55;297;1169;1192;1335;1014;932;928;1427;43;8549
"Região Sul";38;56;26;66;321;1129;1166;1110;875;860;755;1105;9;7516
".. Paraná";13;23;15;31;156;536;542;485;368;322;310;485;3;3289
".. Santa Catarina";13;12;4;19;89;297;273;272;222;223;165;244;5;1838
".. Rio Grande do Sul";12;21;7;16;76;296;351;353;285;315;280;376;1;2389
"Região Centro-Oeste";21;45;15;35;192;776;578;603;477;414;324;478;7;3965
".. Mato Grosso do Sul";3;9;2;13;39;142;115;115;86;69;67;67;2;729
".. Mato Grosso";8;16;3;7;68;206;133;135;125;75;44;72;1;893
".. Goiás";9;16;8;13;71;353;258;271;197;209;170;256;4;1835
".. Distrito Federal";1;4;2;2;14;75;72;82;69;61;43;83;-;508
"Total";339;441;226;415;2816;9498;8041;7459;5476;4937;4322;6317;210;50497
 Fonte: MS/SVSA/CGIAE - Sistema de Informações sobre Mortalidade - SIM
 Notas:
 
 Dados finais disponíveis até 2024 - data de extração 02/12/2025.
 Dados de 2025 - Preliminares - data de extração 28/07/2026.
 Dados de 2026 - 1a prévia - data de extração 01/06/2026.
 
