 Óbitos por Causas Externas - Brasil
Óbitos p/Residênc por Região/Unidade da Federação e Faixa Etária
Período:2020
"Região/Unidade da Federação";"Menor 1 ano";"1 a 4 anos";"5 a 9 anos";"10 a 14 anos";"15 a 19 anos";"20 a 29 anos";"30 a 39 anos";"40 a 49 anos";"50 a 59 anos";"60 a 69 anos";"70 a 79 anos";"80 anos e mais";"Idade ignorada";"Total"
"Região Norte";98;203;151;250;1416;3779;2762;1859;1208;756;425;426;162;13495
".. Rondônia";7;14;19;25;91;276;290;248;173;115;54;54;12;1378
".. Acre";2;6;8;13;100;164;130;71;42;22;13;9;16;596
".. Amazonas";11;40;36;65;320;857;582;349;212;119;65;62;14;2732
".. Roraima";24;14;7;19;63;146;107;102;57;31;15;14;2;601
".. Pará";38;88;56;95;639;1756;1267;801;520;340;191;193;107;6091
".. Amapá";6;17;11;13;85;242;129;77;38;25;18;16;-;677
".. Tocantins";10;24;14;20;118;338;257;211;166;104;69;78;11;1420
"Região Nordeste";188;341;241;537;4869;13524;9423;6238;4608;2932;2329;2984;378;48592
".. Maranhão";25;59;46;81;502;1292;1092;699;459;277;211;220;28;4991
".. Piauí";12;21;19;37;179;589;493;313;269;179;159;173;35;2478
".. Ceará";22;64;26;111;938;2559;1707;1134;843;486;374;401;6;8671
".. Rio Grande do Norte";8;14;9;26;248;820;513;359;268;168;118;178;1;2730
".. Paraíba";17;11;11;31;242;677;600;455;300;198;181;249;4;2976
".. Pernambuco";43;61;41;76;761;2173;1552;1098;854;600;532;647;215;8653
".. Alagoas";8;23;17;28;316;784;514;323;246;163;129;155;2;2708
".. Sergipe";12;14;6;22;182;560;388;248;193;123;96;164;2;2010
".. Bahia";41;74;66;125;1501;4070;2564;1609;1176;738;529;797;85;13375
"Região Sudeste";387;369;179;351;3367;9638;8277;6810;5717;4821;4019;6462;660;51057
".. Minas Gerais";59;78;49;98;839;2271;2071;1799;1498;1142;953;1532;27;12416
".. Espírito Santo";29;27;16;30;303;751;565;478;357;306;195;336;71;3464
".. Rio de Janeiro";129;97;38;92;1067;2940;1992;1385;1163;1087;955;1622;334;12901
".. São Paulo";170;167;76;131;1158;3676;3649;3148;2699;2286;1916;2972;228;22276
"Região Sul";100;161;97;165;1150;4158;3377;2774;2494;1920;1462;2320;99;20277
".. Paraná";44;68;42;77;515;1909;1536;1183;942;742;586;1027;54;8725
".. Santa Catarina";17;40;23;42;239;822;737;594;635;414;306;464;9;4342
".. Rio Grande do Sul";39;53;32;46;396;1427;1104;997;917;764;570;829;36;7210
"Região Centro-Oeste";90;139;84;142;948;2918;2292;1847;1423;915;752;986;81;12617
".. Mato Grosso do Sul";30;29;19;28;109;420;362;296;217;154;105;128;9;1906
".. Mato Grosso";26;46;23;44;235;754;605;478;399;229;138;148;17;3142
".. Goiás";22;51;34;56;516;1452;1043;842;622;431;411;524;54;6058
".. Distrito Federal";12;13;8;14;88;292;282;231;185;101;98;186;1;1511
"Total";863;1213;752;1445;11750;34017;26131;19528;15450;11344;8987;13178;1380;146038
 Fonte: MS/SVSA/CGIAE - Sistema de Informações sobre Mortalidade - SIM
 Notas:
 
 Dados finais disponíveis até 2024 - data de extração 02/12/2025.
 Dados de 2025 - Preliminares - data de extração 28/07/2026.
 Dados de 2026 - 1a prévia - data de extração 01/06/2026.
 
