 Mortalidade - Brasil
Óbitos p/Residênc por Região/Unidade da Federação e Faixa Etária
Período:2026
"Região/Unidade da Federação";"Menor 1 ano";"1 a 4 anos";"5 a 9 anos";"10 a 14 anos";"15 a 19 anos";"20 a 29 anos";"30 a 39 anos";"40 a 49 anos";"50 a 59 anos";"60 a 69 anos";"70 a 79 anos";"80 anos e mais";"Idade ignorada";"Total"
"Região Norte";1456;281;113;199;507;1763;1960;2893;3899;5752;7018;8950;46;34837
".. Rondônia";92;9;11;15;37;137;206;267;444;697;816;899;3;3633
".. Acre";98;16;1;14;21;59;84;126;170;224;291;397;9;1510
".. Amazonas";361;76;26;35;94;386;442;601;787;1157;1313;1637;3;6918
".. Roraima";75;15;8;13;20;63;61;102;145;150;178;204;-;1034
".. Pará";655;129;52;101;254;873;905;1397;1823;2784;3471;4487;27;16958
".. Amapá";67;13;4;8;41;104;102;91;153;229;264;314;-;1390
".. Tocantins";108;23;11;13;40;141;160;309;377;511;685;1012;4;3394
"Região Nordeste";3338;469;310;405;1669;5313;6373;10228;14515;22050;28592;43545;115;136922
".. Maranhão";494;83;43;82;255;735;901;1249;1592;2480;3077;4321;19;15331
".. Piauí";184;21;27;27;79;291;365;633;861;1255;1676;2693;-;8112
".. Ceará";394;84;43;51;227;781;1033;1599;2342;3561;4756;8216;-;23087
".. Rio Grande do Norte";165;16;16;17;92;283;344;582;790;1285;1698;2761;5;8054
".. Paraíba";272;32;19;27;123;370;430;770;1167;1735;2398;3744;5;11092
".. Pernambuco";506;81;53;62;228;828;992;1636;2436;3945;5141;7439;70;23417
".. Alagoas";262;35;22;22;95;310;376;584;936;1392;1670;2035;-;7739
".. Sergipe";178;23;9;12;63;232;282;396;575;857;1110;1601;-;5338
".. Bahia";883;94;78;105;507;1483;1650;2779;3816;5540;7066;10735;16;34752
"Região Sudeste";3528;530;344;399;1311;5127;7741;13937;22580;40661;52596;72421;221;221396
".. Minas Gerais";795;119;85;92;295;1083;1704;3099;5167;8952;11479;16864;19;49753
".. Espírito Santo";194;28;20;20;92;290;391;702;926;1677;1948;2793;5;9086
".. Rio de Janeiro";685;118;65;92;359;1317;1627;2905;4714;9191;11807;15306;100;48286
".. São Paulo";1854;265;174;195;565;2437;4019;7231;11773;20841;27362;37458;97;114271
"Região Sul";1317;172;105;175;468;1835;2749;4598;7909;14466;18937;24971;25;77727
".. Paraná";538;73;43;81;223;820;1205;1872;3281;5466;7110;9406;6;30124
".. Santa Catarina";376;44;24;41;115;463;668;1118;1821;3375;4156;5183;8;17392
".. Rio Grande do Sul";403;55;38;53;130;552;876;1608;2807;5625;7671;10382;11;30211
"Região Centro-Oeste";902;161;78;110;316;1207;1548;2708;4145;6556;7885;10022;11;35649
".. Mato Grosso do Sul";154;28;15;26;60;233;294;487;780;1241;1554;2103;3;6978
".. Mato Grosso";308;57;24;27;97;305;389;650;1025;1511;1725;2008;2;8128
".. Goiás";319;62;28;44;123;529;641;1170;1766;2911;3504;4273;5;15375
".. Distrito Federal";121;14;11;13;36;140;224;401;574;893;1102;1638;1;5168
"Total";10541;1613;950;1288;4271;15245;20371;34364;53048;89485;115028;159909;418;506531
 Fonte: MS/SVSA/CGIAE - Sistema de Informações sobre Mortalidade - SIM
 Notas:
 
 Dados finais disponíveis até 2024 - data de extração 02/12/2025.
 Dados de 2025 - Preliminares - data de extração 28/07/2026.
 Dados de 2026 - 1a prévia - data de extração 01/06/2026.
 
