 Mortalidade - Brasil
Óbitos p/Residênc por Região/Unidade da Federação e Faixa Etária
Período:2021
"Região/Unidade da Federação";"Menor 1 ano";"1 a 4 anos";"5 a 9 anos";"10 a 14 anos";"15 a 19 anos";"20 a 29 anos";"30 a 39 anos";"40 a 49 anos";"50 a 59 anos";"60 a 69 anos";"70 a 79 anos";"80 anos e mais";"Idade ignorada";"Total"
"Região Norte";4642;866;437;584;2017;6600;7893;11077;15863;22167;23133;25809;266;121354
".. Rondônia";314;55;22;38;153;580;861;1370;2186;2882;2788;2777;16;14042
".. Acre";280;49;20;42;100;254;341;534;750;937;1039;1133;17;5496
".. Amazonas";1161;249;113;147;551;1760;1994;2728;3862;5408;5249;5831;27;29080
".. Roraima";269;88;32;26;93;297;343;452;630;762;662;645;7;4306
".. Pará";2020;314;192;250;842;2792;3276;4441;6363;9408;10398;11682;188;52166
".. Amapá";299;47;21;42;142;396;371;470;636;784;728;814;-;4750
".. Tocantins";299;64;37;39;136;521;707;1082;1436;1986;2269;2927;11;11514
"Região Nordeste";10053;1446;858;1255;5782;18724;24030;36132;54672;73475;88902;127990;553;443872
".. Maranhão";1470;265;126;230;678;2082;2892;3836;5190;7436;8972;11408;69;44654
".. Piauí";632;86;63;74;254;971;1382;2049;2901;4208;5415;8131;46;26212
".. Ceará";1287;211;116;198;979;3170;3930;5582;8834;11509;14735;23102;30;73683
".. Rio Grande do Norte";531;53;39;70;245;1079;1405;2136;3387;4226;5307;8285;8;26771
".. Paraíba";708;104;61;67;325;1128;1732;2831;4298;5425;6933;11058;8;34678
".. Pernambuco";1567;223;116;167;956;2841;4008;6357;10501;14279;17184;22305;213;80717
".. Alagoas";652;102;59;80;351;1066;1338;2105;3389;4733;5194;6015;6;25090
".. Sergipe";438;71;40;42;174;750;911;1472;2245;2914;3238;4379;1;16675
".. Bahia";2768;331;238;327;1820;5637;6432;9764;13927;18745;21924;33307;172;115392
"Região Sudeste";11046;1646;902;1217;4757;19886;33883;62865;111576;170441;184558;239682;1275;843734
".. Minas Gerais";2588;362;237;312;1094;4321;7541;14081;24846;36776;41136;56716;75;190085
".. Espírito Santo";590;106;70;88;352;952;1475;2484;4086;6545;6733;9231;89;32801
".. Rio de Janeiro";2418;352;173;257;1383;5456;7055;12899;23670;39071;42353;53542;603;189232
".. São Paulo";5450;826;422;560;1928;9157;17812;33401;58974;88049;94336;120193;508;431616
"Região Sul";3428;573;340;424;1745;7162;11668;20928;38579;58252;66322;80629;176;290226
".. Paraná";1343;212;139;182;810;3302;5186;9191;16192;22189;24698;29072;90;112606
".. Santa Catarina";891;129;91;91;332;1499;2387;4398;8285;12327;13501;15947;20;59898
".. Rio Grande do Sul";1194;232;110;151;603;2361;4095;7339;14102;23736;28123;35610;66;117722
"Região Centro-Oeste";2687;490;229;319;1283;4464;7728;12973;20000;25796;27149;30238;107;133463
".. Mato Grosso do Sul";451;82;60;60;234;734;1363;2295;3691;4967;5167;5929;16;25049
".. Mato Grosso";733;159;62;82;336;1120;1873;3046;4475;5585;5552;5575;25;28623
".. Goiás";1101;195;82;137;588;2081;3516;5771;9124;11574;12507;13976;60;60712
".. Distrito Federal";402;54;25;40;125;529;976;1861;2710;3670;3923;4758;6;19079
"Total";31856;5021;2766;3799;15584;56836;85202;143975;240690;350131;390064;504348;2377;1832649
 Fonte: MS/SVSA/CGIAE - Sistema de Informações sobre Mortalidade - SIM
 Notas:
 
 Dados finais disponíveis até 2024 - data de extração 02/12/2025.
 Dados de 2025 - Preliminares - data de extração 28/07/2026.
 Dados de 2026 - 1a prévia - data de extração 01/06/2026.
 
