 Mortalidade - Brasil
Óbitos p/Residênc por Região/Unidade da Federação e Faixa Etária
Período:2023
"Região/Unidade da Federação";"Menor 1 ano";"1 a 4 anos";"5 a 9 anos";"10 a 14 anos";"15 a 19 anos";"20 a 29 anos";"30 a 39 anos";"40 a 49 anos";"50 a 59 anos";"60 a 69 anos";"70 a 79 anos";"80 anos e mais";"Idade ignorada";"Total"
"Região Norte";4517;1027;505;550;1734;5799;6170;7898;10661;15233;17734;22432;217;94477
".. Rondônia";293;62;31;46;140;480;579;819;1241;1820;1976;2467;20;9974
".. Acre";245;54;21;35;85;239;258;325;466;653;775;1018;15;4189
".. Amazonas";1204;290;137;138;411;1423;1445;1788;2362;3222;3549;4406;10;20385
".. Roraima";313;124;36;34;71;224;249;301;388;505;528;537;1;3311
".. Pará";1897;392;221;235;738;2542;2861;3553;4755;7147;8566;10713;160;43780
".. Amapá";271;65;26;25;145;417;262;337;411;536;635;796;-;3926
".. Tocantins";294;40;33;37;144;474;516;775;1038;1350;1705;2495;11;8912
"Região Nordeste";9708;1690;988;1266;5001;17505;19235;28440;41762;60201;76544;117784;522;380646
".. Maranhão";1443;281;155;207;621;2024;2331;3225;3965;5946;7671;10798;80;38747
".. Piauí";630;89;47;90;251;899;1215;1738;2285;3300;4519;7435;31;22529
".. Ceará";1302;202;135;171;726;2759;3094;4160;6254;8980;12157;20694;1;60635
".. Rio Grande do Norte";440;78;48;58;230;809;1004;1482;2439;3555;4556;7583;20;22302
".. Paraíba";668;120;69;88;286;1021;1241;2058;3112;4451;5962;9677;20;28773
".. Pernambuco";1535;301;161;188;792;2882;3316;4942;7999;11542;14310;20369;190;68527
".. Alagoas";631;107;66;74;308;1122;1107;1826;2629;3847;4679;5568;1;21965
".. Sergipe";536;85;40;50;155;671;743;1056;1694;2308;2745;4003;1;14087
".. Bahia";2523;427;267;340;1632;5318;5184;7953;11385;16272;19945;31657;178;103081
"Região Sudeste";11335;2038;1182;1344;4253;16450;23410;41049;71985;124252;150122;216072;877;664369
".. Minas Gerais";2638;510;300;339;1066;3960;5783;9929;16977;28125;34412;53490;74;157603
".. Espírito Santo";605;119;58;86;356;981;1165;1896;2992;4972;5540;8505;40;27315
".. Rio de Janeiro";2370;446;241;273;1080;4237;4974;8584;15565;28576;33720;44654;428;145148
".. São Paulo";5722;963;583;646;1751;7272;11488;20640;36451;62579;76450;109423;335;334303
"Região Sul";3560;614;387;454;1477;5864;7861;13209;24517;42241;53011;72234;141;225570
".. Paraná";1511;244;170;186;651;2583;3258;5438;9498;15280;19010;25581;55;83465
".. Santa Catarina";878;155;99;94;312;1259;1723;3017;5712;9336;11315;14662;27;48589
".. Rio Grande do Sul";1171;215;118;174;514;2022;2880;4754;9307;17625;22686;31991;59;93516
"Região Centro-Oeste";2897;566;323;359;1013;4035;4974;8013;11988;17985;20972;27307;116;100548
".. Mato Grosso do Sul";545;109;77;78;198;726;860;1446;2396;3599;4134;5456;14;19638
".. Mato Grosso";822;192;92;110;335;1144;1246;1888;2658;3861;4235;5190;17;21790
".. Goiás";1144;198;114;122;399;1732;2226;3532;5283;8185;9771;12260;75;45041
".. Distrito Federal";386;67;40;49;81;433;642;1147;1651;2340;2832;4401;10;14079
"Total";32017;5935;3385;3973;13478;49653;61650;98609;160913;259912;318383;455829;1873;1465610
 Fonte: MS/SVSA/CGIAE - Sistema de Informações sobre Mortalidade - SIM
 Notas:
 
 Dados finais disponíveis até 2024 - data de extração 02/12/2025.
 Dados de 2025 - Preliminares - data de extração 28/07/2026.
 Dados de 2026 - 1a prévia - data de extração 01/06/2026.
 
