 Mortalidade - Brasil
Óbitos p/Residênc por Região/Unidade da Federação e Local ocorrência
Período:2021
"Região/Unidade da Federação";"Hospital";"Outro estabelecimento de saúde";"Domicílio";"Via pública";"Outros";"Ignorado";"Total"
"Região Norte";81777;4849;24244;5344;5012;128;121354
".. Rondônia";10478;296;2243;612;399;14;14042
".. Acre";4007;16;1106;169;191;7;5496
".. Amazonas";20475;547;5873;1056;1111;18;29080
".. Roraima";3008;23;746;132;395;2;4306
".. Pará";33119;3150;11046;2562;2227;62;52166
".. Amapá";3270;213;800;201;264;2;4750
".. Tocantins";7420;604;2430;612;425;23;11514
"Região Nordeste";273416;23540;113272;19402;13954;288;443872
".. Maranhão";27900;1174;11500;2145;1900;35;44654
".. Piauí";15758;177;8380;1067;802;28;26212
".. Ceará";43151;5065;19777;3311;2350;29;73683
".. Rio Grande do Norte";16424;2108;6420;1229;571;19;26771
".. Paraíba";22076;1111;9070;1271;1128;22;34678
".. Pernambuco";53314;4381;17737;3075;2190;20;80717
".. Alagoas";16114;1070;6143;1060;688;15;25090
".. Sergipe";10771;248;4625;799;232;-;16675
".. Bahia";67908;8206;29620;5445;4093;120;115392
"Região Sudeste";605208;77772;127480;15282;17527;465;843734
".. Minas Gerais";131769;15210;34765;4117;4055;169;190085
".. Espírito Santo";23437;1805;5487;1075;952;45;32801
".. Rio de Janeiro";131927;24921;25411;3154;3789;30;189232
".. São Paulo";318075;35836;61817;6936;8731;221;431616
"Região Sul";209246;12780;51711;7062;9287;140;290226
".. Paraná";79025;6784;20762;3160;2842;33;112606
".. Santa Catarina";43616;1749;11086;1442;1986;19;59898
".. Rio Grande do Sul";86605;4247;19863;2460;4459;88;117722
"Região Centro-Oeste";96582;8099;20667;4260;3796;59;133463
".. Mato Grosso do Sul";18258;1058;4198;755;763;17;25049
".. Mato Grosso";20195;1913;4380;1202;918;15;28623
".. Goiás";44066;3650;9515;1789;1667;25;60712
".. Distrito Federal";14063;1478;2574;514;448;2;19079
"Total";1266229;127040;337374;51350;49576;1080;1832649
 Fonte: MS/SVSA/CGIAE - Sistema de Informações sobre Mortalidade - SIM
 Notas:
 
 Dados finais disponíveis até 2024 - data de extração 02/12/2025.
 Dados de 2025 - Preliminares - data de extração 28/07/2026.
 Dados de 2026 - 1a prévia - data de extração 01/06/2026.
 
