 Mortalidade - Brasil
Óbitos p/Residênc por Região/Unidade da Federação e Local ocorrência
Período:2018
"Região/Unidade da Federação";"Hospital";"Outro estabelecimento de saúde";"Domicílio";"Via pública";"Outros";"Ignorado";"Total"
"Região Norte";52533;2625;18550;5923;4578;200;84409
".. Rondônia";5662;111;1545;525;309;13;8165
".. Acre";2620;11;951;262;246;4;4094
".. Amazonas";11486;145;4233;999;828;19;17710
".. Roraima";1790;28;503;154;308;4;2787
".. Pará";23941;2006;8960;3174;2283;149;40513
".. Amapá";2303;67;592;188;192;3;3345
".. Tocantins";4731;257;1766;621;412;8;7795
"Região Nordeste";205020;16110;88867;21279;12335;358;343969
".. Maranhão";20452;1283;9395;1980;1377;38;34525
".. Piauí";11680;125;6466;1050;593;69;19983
".. Ceará";31524;2806;16158;4322;2165;53;57028
".. Rio Grande do Norte";12476;1218;5263;1446;778;28;21209
".. Paraíba";16412;646;7183;1394;991;18;26644
".. Pernambuco";38616;4238;13651;3684;1788;34;62011
".. Alagoas";12231;486;4757;1347;584;6;19411
".. Sergipe";8316;145;3395;963;202;3;13024
".. Bahia";53313;5163;22599;5093;3857;109;90134
"Região Sudeste";421919;49594;94172;15161;17014;278;598138
".. Minas Gerais";90664;10800;25764;4467;3798;126;135619
".. Espírito Santo";16536;1041;3964;1197;722;40;23500
".. Rio de Janeiro";95008;18677;18914;3100;4968;39;140706
".. São Paulo";219711;19076;45530;6397;7526;73;298313
"Região Sul";142249;7113;39622;7211;7468;71;203734
".. Paraná";49133;3654;15702;2861;2476;22;73848
".. Santa Catarina";29252;855;8249;1476;1421;15;41268
".. Rio Grande do Sul";63864;2604;15671;2874;3571;34;88618
"Região Centro-Oeste";58204;5094;15484;4445;3157;85;86469
".. Mato Grosso do Sul";11314;630;3268;695;690;3;16600
".. Mato Grosso";12008;1155;3192;1107;715;28;18205
".. Goiás";26044;2772;7011;2143;1492;45;39507
".. Distrito Federal";8838;537;2013;500;260;9;12157
"Total";879925;80536;256695;54019;44552;992;1316719
 Fonte: MS/SVSA/CGIAE - Sistema de Informações sobre Mortalidade - SIM
 Notas:
 
 Dados finais disponíveis até 2024 - data de extração 02/12/2025.
 Dados de 2025 - Preliminares - data de extração 28/07/2026.
 Dados de 2026 - 1a prévia - data de extração 01/06/2026.
 
