 Mortalidade - Brasil
Óbitos p/Residênc por Região/Unidade da Federação e Capítulo CID-10
Período:2024
"Região/Unidade da Federação";"Cap I";"Cap II";"Cap III";"Cap IV";"Cap V";"Cap VI";"Cap VII";"Cap VIII";"Cap IX";"Cap X";"Cap XI";"Cap XII";"Cap XIII";"Cap XIV";"Cap XV";"Cap XVI";"Cap XVII";"Cap XVIII";"Cap XX";"Total"
"Região Norte";5309;14431;583;6101;689;2433;4;23;23405;10760;4820;624;460;2927;192;2106;1185;6010;14287;96349
".. Rondônia";495;1587;45;671;86;312;-;3;2444;1123;424;37;38;354;7;161;89;629;1592;10097
".. Acre";209;726;26;188;18;134;-;-;985;611;210;16;14;129;8;105;66;253;569;4267
".. Amazonas";1378;3204;154;1478;150;495;1;6;4313;1891;1024;79;101;497;43;505;323;1564;3019;20225
".. Roraima";193;526;15;151;10;60;-;3;688;290;157;25;17;93;17;90;56;108;556;3055
".. Pará";2466;6377;271;2753;283;1124;3;10;11328;5336;2347;410;231;1440;90;961;482;3120;6343;45375
".. Amapá";226;594;18;220;22;64;-;-;944;468;141;17;21;129;11;109;60;158;701;3903
".. Tocantins";342;1417;54;640;120;244;-;1;2703;1041;517;40;38;285;16;175;109;178;1507;9427
"Região Nordeste";18849;60737;2143;26497;5779;12606;14;91;103815;46179;21956;3957;1925;13343;454;5059;2905;18109;50488;394906
".. Maranhão";1951;5237;249;3081;420;880;1;11;11262;4156;2276;381;117;1129;71;690;363;2295;5573;40143
".. Piauí";1004;3421;134;1748;330;837;-;2;6629;2790;1278;178;78;599;42;304;196;974;2932;23476
".. Ceará";2978;10876;291;2978;1259;2542;1;13;15653;8696;3546;569;375;2027;62;655;460;1474;9041;63496
".. Rio Grande do Norte";1087;4084;113;1490;345;947;2;4;6389;2832;1230;235;205;935;37;298;157;783;2354;23527
".. Paraíba";1493;4729;143;2228;310;863;-;4;7874;4099;1603;251;133;1248;30;356;183;1415;3191;30153
".. Pernambuco";3425;10886;311;4578;796;2210;3;23;18733;8970;4274;889;398;2916;59;776;520;2160;8866;70793
".. Alagoas";1337;2892;120;1583;262;508;2;10;6480;2628;1292;236;114;748;26;369;153;1014;2879;22653
".. Sergipe";614;2328;65;985;293;475;-;5;3392;1531;753;188;53;607;18;216;131;976;1823;14453
".. Bahia";4960;16284;717;7826;1764;3344;5;19;27403;10477;5704;1030;452;3134;109;1395;742;7018;13829;106212
"Região Sudeste";34516;121954;3497;36500;8626;26973;13;188;182582;93894;36204;6027;3822;33598;564;5787;3692;35103;58042;691582
".. Minas Gerais";9632;27850;940;8961;3113;6696;4;44;37548;22611;8473;1245;951;7065;140;1391;934;10618;15452;163668
".. Espírito Santo";808;5330;93;2277;240;1644;-;12;8062;2127;1343;217;125;1195;30;311;242;62;4024;28142
".. Rio de Janeiro";7634;24775;971;8117;1386;4590;2;39;38384;19526;6328;1577;763;8331;140;1148;639;10967;12839;148156
".. São Paulo";16442;63999;1493;17145;3887;14043;7;93;98588;49630;20060;2988;1983;17007;254;2937;1877;13456;25727;351616
"Região Sul";10803;49763;856;15242;3328;13846;4;39;61591;30036;12352;1339;1149;8545;216;1936;1531;7111;23139;242826
".. Paraná";3759;17165;327;5280;1419;5078;4;14;22650;11521;5176;479;485;2823;98;752;611;1600;9881;89122
".. Santa Catarina";2271;11189;168;3219;341;2486;-;12;13980;6203;2587;283;234;1966;54;537;379;1237;5078;52224
".. Rio Grande do Sul";4773;21409;361;6743;1568;6282;-;13;24961;12312;4589;577;430;3756;64;647;541;4274;8180;101480
"Região Centro-Oeste";5893;17960;515;5838;1171;3898;1;30;27212;13194;6211;724;608;4236;158;1365;1005;2755;13578;106352
".. Mato Grosso do Sul";855;3407;80;948;119;653;-;4;5519;2488;1147;181;137;877;20;222;189;695;2300;19841
".. Mato Grosso";1006;3594;122;1539;228;661;-;13;5532;2454;1173;95;120;873;34;385;254;1122;3598;22803
".. Goiás";2768;7755;230;2714;544;1889;1;11;12304;6450;2924;329;234;1900;86;574;410;684;6023;47830
".. Distrito Federal";1264;3204;83;637;280;695;-;2;3857;1802;967;119;117;586;18;184;152;254;1657;15878
"Total";75370;264845;7594;90178;19593;59756;36;371;398605;194063;81543;12671;7964;62649;1584;16253;10318;69088;159534;1532015
 Fonte: MS/SVSA/CGIAE - Sistema de Informações sobre Mortalidade - SIM
 Notas:
 
 Dados finais disponíveis até 2024 - data de extração 02/12/2025.
 Dados de 2025 - Preliminares - data de extração 28/07/2026.
 Dados de 2026 - 1a prévia - data de extração 01/06/2026.
 
