 Mortalidade - Brasil
Óbitos p/Residênc por Região/Unidade da Federação e Faixa Etária
Período:2024
"Região/Unidade da Federação";"Menor 1 ano";"1 a 4 anos";"5 a 9 anos";"10 a 14 anos";"15 a 19 anos";"20 a 29 anos";"30 a 39 anos";"40 a 49 anos";"50 a 59 anos";"60 a 69 anos";"70 a 79 anos";"80 anos e mais";"Idade ignorada";"Total"
"Região Norte";4168;909;451;536;1623;5530;6117;8204;10810;15908;18482;23418;193;96349
".. Rondônia";295;67;39;44;133;471;612;781;1275;1772;2084;2505;19;10097
".. Acre";236;62;20;30;78;235;246;371;478;668;833;1002;8;4267
".. Amazonas";1065;222;97;117;374;1329;1459;1838;2281;3312;3701;4417;13;20225
".. Roraima";231;69;37;28;57;193;220;291;366;492;534;537;-;3055
".. Pará";1810;389;202;246;752;2567;2734;3808;4957;7491;8895;11382;142;45375
".. Amapá";220;44;20;27;106;319;279;349;446;640;616;837;-;3903
".. Tocantins";311;56;36;44;123;416;567;766;1007;1533;1819;2738;11;9427
"Região Nordeste";9033;1452;962;1257;5059;17220;19672;29640;42679;62932;80608;123927;465;394906
".. Maranhão";1291;232;140;190;685;2083;2569;3333;4125;6343;7873;11201;78;40143
".. Piauí";566;79;68;83;264;872;1193;1822;2414;3600;4739;7762;14;23476
".. Ceará";1180;193;130;184;811;2822;3166;4549;6507;9357;12804;21750;43;63496
".. Rio Grande do Norte";469;77;41;67;178;784;966;1508;2574;3759;4973;8114;17;23527
".. Paraíba";608;105;52;74;304;1028;1284;2016;3199;4655;6359;10458;11;30153
".. Pernambuco";1493;242;161;179;821;2991;3323;5075;7762;11902;15236;21421;187;70793
".. Alagoas";633;96;60;82;300;1100;1144;1809;2784;3983;4784;5878;-;22653
".. Sergipe";385;51;35;53;158;606;666;1104;1727;2326;3009;4332;1;14453
".. Bahia";2408;377;275;345;1538;4934;5361;8424;11587;17007;20831;33011;114;106212
"Região Sudeste";10594;1934;1293;1408;4338;17002;24457;42959;73227;128036;158502;226888;944;691582
".. Minas Gerais";2486;480;318;371;1130;4227;5921;10404;17506;29388;36066;55294;77;163668
".. Espírito Santo";610;88;73;79;309;969;1210;1937;3053;5075;6022;8643;74;28142
".. Rio de Janeiro";2187;377;241;288;1040;4053;5074;8595;15233;28833;34790;47002;443;148156
".. São Paulo";5311;989;661;670;1859;7753;12252;22023;37435;64740;81624;115949;350;351616
"Região Sul";3507;725;414;482;1482;5948;8520;13926;24856;45127;58089;79627;123;242826
".. Paraná";1398;309;161;199;682;2659;3657;5726;9660;16236;20515;27868;52;89122
".. Santa Catarina";972;198;115;122;306;1277;1990;3120;5701;9941;12332;16122;28;52224
".. Rio Grande do Sul";1137;218;138;161;494;2012;2873;5080;9495;18950;25242;35637;43;101480
"Região Centro-Oeste";2718;611;332;341;1094;3989;5233;8419;12828;19161;22306;29232;88;106352
".. Mato Grosso do Sul";488;111;70;69;201;714;874;1442;2395;3798;4167;5505;7;19841
".. Mato Grosso";785;192;70;82;382;1096;1293;1929;2809;4102;4632;5413;18;22803
".. Goiás";1096;236;143;151;413;1713;2330;3773;5779;8675;10265;13195;61;47830
".. Distrito Federal";349;72;49;39;98;466;736;1275;1845;2586;3242;5119;2;15878
"Total";30020;5631;3452;4024;13596;49689;63999;103148;164400;271164;337987;483092;1813;1532015
 Fonte: MS/SVSA/CGIAE - Sistema de Informações sobre Mortalidade - SIM
 Notas:
 
 Dados finais disponíveis até 2024 - data de extração 02/12/2025.
 Dados de 2025 - Preliminares - data de extração 28/07/2026.
 Dados de 2026 - 1a prévia - data de extração 01/06/2026.
 
