 Mortalidade - Brasil
Óbitos p/Residênc por Região/Unidade da Federação e Local ocorrência
Período:2017
"Região/Unidade da Federação";"Hospital";"Outro estabelecimento de saúde";"Domicílio";"Via pública";"Outros";"Ignorado";"Total"
"Região Norte";51605;1806;18241;6455;4614;262;82983
".. Rondônia";5756;94;1416;606;329;18;8219
".. Acre";2401;14;809;329;273;6;3832
".. Amazonas";11170;170;3992;1032;893;24;17281
".. Roraima";1504;29;514;140;268;6;2461
".. Pará";23740;1311;8981;3507;2246;195;39980
".. Amapá";2243;41;532;153;187;2;3158
".. Tocantins";4791;147;1997;688;418;11;8052
"Região Nordeste";207386;14581;92648;24280;12780;370;352045
".. Maranhão";20582;1383;9738;2120;1400;52;35275
".. Piauí";11432;144;6584;1068;605;17;19850
".. Ceará";32691;2545;16804;4771;2383;69;59263
".. Rio Grande do Norte";12311;1076;5482;1786;725;29;21409
".. Paraíba";16509;587;7455;1463;929;32;26975
".. Pernambuco";39781;3418;14412;4578;2135;40;64364
".. Alagoas";12660;446;5171;1758;622;16;20673
".. Sergipe";8130;179;3561;1200;247;4;13321
".. Bahia";53290;4803;23441;5536;3734;111;90915
"Região Sudeste";417368;48509;93473;16671;17280;391;593692
".. Minas Gerais";91314;11232;26291;5107;4005;169;138118
".. Espírito Santo";16715;1088;4103;1431;695;80;24112
".. Rio de Janeiro";92738;17236;18395;3244;5071;25;136709
".. São Paulo";216601;18953;44684;6889;7509;117;294753
"Região Sul";138386;6292;37936;7981;7102;96;197793
".. Paraná";47501;3393;15149;3028;2531;31;71633
".. Santa Catarina";28053;884;7837;1707;1428;10;39919
".. Rio Grande do Sul";62832;2015;14950;3246;3143;55;86241
"Região Centro-Oeste";58153;4602;15051;4937;3327;80;86150
".. Mato Grosso do Sul";10976;560;2988;732;696;2;15954
".. Mato Grosso";11628;1015;3117;1156;780;13;17709
".. Goiás";26497;2348;7044;2443;1584;57;39973
".. Distrito Federal";9052;679;1902;606;267;8;12514
"Total";872898;75790;257349;60324;45103;1199;1312663
 Fonte: MS/SVSA/CGIAE - Sistema de Informações sobre Mortalidade - SIM
 Notas:
 
 Dados finais disponíveis até 2024 - data de extração 02/12/2025.
 Dados de 2025 - Preliminares - data de extração 28/07/2026.
 Dados de 2026 - 1a prévia - data de extração 01/06/2026.
 
