 Mortalidade - Brasil
Óbitos p/Residênc por Região/Unidade da Federação e Local ocorrência
Período:2019
"Região/Unidade da Federação";"Hospital";"Outro estabelecimento de saúde";"Domicílio";"Via pública";"Outros";"Ignorado";"Total"
"Região Norte";53536;3234;18975;5148;4626;167;85686
".. Rondônia";5750;136;1623;493;325;11;8338
".. Acre";2676;20;950;219;224;9;4098
".. Amazonas";11925;114;4372;985;917;14;18327
".. Roraima";1830;24;575;108;240;2;2779
".. Pará";24027;2603;8928;2587;2334;120;40599
".. Amapá";2392;91;635;208;196;2;3524
".. Tocantins";4936;246;1892;548;390;9;8021
"Região Nordeste";213280;17577;91583;18439;11644;278;352801
".. Maranhão";20921;1290;9739;1844;1302;32;35128
".. Piauí";12230;166;6515;951;638;28;20528
".. Ceará";32390;3241;16183;3014;1731;21;56580
".. Rio Grande do Norte";12845;1514;5509;1252;617;30;21767
".. Paraíba";17093;896;7405;1090;882;12;27378
".. Pernambuco";40659;4241;14257;3168;1914;56;64295
".. Alagoas";13076;622;4888;1111;582;8;20287
".. Sergipe";8718;90;3518;949;197;1;13473
".. Bahia";55348;5517;23569;5060;3781;90;93365
"Região Sudeste";432347;53474;98596;14621;16934;271;616243
".. Minas Gerais";93643;11954;26885;4309;4110;121;141022
".. Espírito Santo";17101;1106;4315;1108;771;30;24431
".. Rio de Janeiro";96602;21073;19660;2792;4423;50;144600
".. São Paulo";225001;19341;47736;6412;7630;70;306190
"Região Sul";144654;7356;39621;6675;7690;90;206086
".. Paraná";50018;3679;15824;2758;2268;19;74566
".. Santa Catarina";30158;896;8146;1444;1618;20;42282
".. Rio Grande do Sul";64478;2781;15651;2473;3804;51;89238
"Região Centro-Oeste";60212;5398;15853;4256;3213;53;88985
".. Mato Grosso do Sul";11533;619;3257;724;680;2;16815
".. Mato Grosso";12092;1245;3202;1057;737;8;18341
".. Goiás";27221;2930;7331;1952;1551;40;41025
".. Distrito Federal";9366;604;2063;523;245;3;12804
"Total";904029;87039;264628;49139;44107;859;1349801
 Fonte: MS/SVSA/CGIAE - Sistema de Informações sobre Mortalidade - SIM
 Notas:
 
 Dados finais disponíveis até 2024 - data de extração 02/12/2025.
 Dados de 2025 - Preliminares - data de extração 28/07/2026.
 Dados de 2026 - 1a prévia - data de extração 01/06/2026.
 
