 Mortalidade - Brasil
Óbitos p/Residênc por Região/Unidade da Federação e Local ocorrência
Período:2024
"Região/Unidade da Federação";"Hospital";"Outro estabelecimento de saúde";"Domicílio";"Via pública";"Outros";"Ignorado";"Total"
"Região Norte";60505;5153;20982;5070;4562;77;96349
".. Rondônia";6913;279;1897;580;416;12;10097
".. Acre";2892;27;941;189;210;8;4267
".. Amazonas";13432;156;4654;997;982;4;20225
".. Roraima";2013;35;645;106;255;1;3055
".. Pará";26550;4162;10149;2489;1980;45;45375
".. Amapá";2696;112;670;142;281;2;3903
".. Tocantins";6009;382;2026;567;438;5;9427
"Região Nordeste";237672;23295;99781;19071;14789;298;394906
".. Maranhão";24002;1550;10363;2311;1851;66;40143
".. Piauí";13441;464;7491;1162;895;23;23476
".. Ceará";36379;4087;17251;3165;2600;14;63496
".. Rio Grande do Norte";14051;2118;5787;936;600;35;23527
".. Paraíba";18984;1001;7846;1244;1049;29;30153
".. Pernambuco";44771;4779;15701;3302;2196;44;70793
".. Alagoas";13476;1742;5313;974;1141;7;22653
".. Sergipe";9603;132;3770;731;213;4;14453
".. Bahia";62965;7422;26259;5246;4244;76;106212
"Região Sudeste";474078;65463;117418;15894;18479;250;691582
".. Minas Gerais";109772;11940;32304;4751;4750;151;163668
".. Espírito Santo";18998;1704;5287;1199;936;18;28142
".. Rio de Janeiro";94261;24161;23208;2814;3680;32;148156
".. São Paulo";251047;27658;56619;7130;9113;49;351616
"Região Sul";168114;10059;47812;7120;9635;86;242826
".. Paraná";59936;4740;18448;3095;2891;12;89122
".. Santa Catarina";36291;1619;10685;1572;2047;10;52224
".. Rio Grande do Sul";71887;3700;18679;2453;4697;64;101480
"Região Centro-Oeste";71795;7556;19009;4288;3670;34;106352
".. Mato Grosso do Sul";13875;638;3825;781;719;3;19841
".. Mato Grosso";14467;1987;4114;1261;962;12;22803
".. Goiás";32605;3293;8477;1817;1620;18;47830
".. Distrito Federal";10848;1638;2593;429;369;1;15878
"Total";1012164;111526;305002;51443;51135;745;1532015
 Fonte: MS/SVSA/CGIAE - Sistema de Informações sobre Mortalidade - SIM
 Notas:
 
 Dados finais disponíveis até 2024 - data de extração 02/12/2025.
 Dados de 2025 - Preliminares - data de extração 28/07/2026.
 Dados de 2026 - 1a prévia - data de extração 01/06/2026.
 
