 Mortalidade - Brasil
Óbitos p/Residênc por Região/Unidade da Federação e Capítulo CID-10
Período:2021
"Região/Unidade da Federação";"Cap I";"Cap II";"Cap III";"Cap IV";"Cap V";"Cap VI";"Cap VII";"Cap VIII";"Cap IX";"Cap X";"Cap XI";"Cap XII";"Cap XIII";"Cap XIV";"Cap XV";"Cap XVI";"Cap XVII";"Cap XVIII";"Cap XX";"Total"
"Região Norte";35680;12156;561;6512;662;1937;3;15;21279;9085;4150;320;367;2384;479;2588;1148;7624;14404;121354
".. Rondônia";5301;1415;52;713;70;206;-;2;2237;794;363;14;42;302;46;171;97;719;1498;14042
".. Acre";1517;531;37;249;29;80;1;2;861;616;156;5;8;131;15;154;55;580;469;5496
".. Amazonas";10337;2696;123;1505;105;391;2;2;4009;1940;829;81;101;421;127;620;310;2178;3303;29080
".. Roraima";1412;425;17;231;10;52;-;1;638;266;164;10;24;63;40;108;54;132;659;4306
".. Pará";12777;5338;276;2852;295;911;-;7;10267;4399;1952;186;160;1184;186;1191;478;3525;6182;52166
".. Amapá";1236;516;24;268;16;79;-;-;725;356;159;10;10;85;19;164;62;237;784;4750
".. Tocantins";3100;1235;32;694;137;218;-;1;2542;714;527;14;22;198;46;180;92;253;1509;11514
"Região Nordeste";92273;52810;2013;29072;5431;10642;7;46;99733;34453;18893;2551;1690;10510;957;6099;2873;26187;47632;443872
".. Maranhão";9142;4561;203;3407;363;758;-;5;11151;3308;2038;212;127;854;166;889;366;2048;5056;44654
".. Piauí";5389;3004;121;1593;244;616;-;2;6887;2048;1065;134;74;466;68;362;197;1290;2652;26212
".. Ceará";18254;9545;265;3235;917;2372;-;10;15941;6345;3053;410;287;1520;146;760;380;2086;8157;73683
".. Rio Grande do Norte";5902;3613;129;1656;251;722;-;3;6139;2151;1127;192;208;665;71;329;180;857;2576;26771
".. Paraíba";7293;4249;151;2568;273;874;2;1;8057;3008;1396;182;102;1065;79;458;202;1737;2981;34678
".. Pernambuco";15786;9524;306;5940;1304;1974;-;8;17214;7764;3601;617;375;2412;119;916;539;4066;8252;80717
".. Alagoas";5262;2682;103;1917;296;443;1;5;6177;1712;1131;137;99;541;58;389;168;1496;2473;25090
".. Sergipe";4051;1817;95;1036;349;432;-;3;3345;903;671;105;34;430;33;255;126;1149;1841;16675
".. Bahia";21194;13815;640;7720;1434;2451;4;9;24822;7214;4811;562;384;2557;217;1741;715;11458;13644;115392
"Região Sudeste";231051;110148;3419;39968;8183;23310;11;73;177183;69906;32820;4092;2949;27674;1207;6427;3662;48404;53247;843734
".. Minas Gerais";50866;25232;855;9305;2802;5582;3;14;37799;15096;7682;769;784;5929;248;1525;924;11304;13366;190085
".. Espírito Santo";8128;4475;88;2227;431;1356;-;5;7146;1878;1212;165;152;912;64;327;239;252;3744;32801
".. Rio de Janeiro";49188;22055;976;8914;1328;3932;2;18;39123;16548;5884;1093;540;6746;369;1376;655;17451;13034;189232
".. São Paulo";122869;58386;1500;19522;3622;12440;6;36;93115;36384;18042;2065;1473;14087;526;3199;1844;19397;23103;431616
"Região Sul";83068;44989;842;15465;2823;10547;2;17;58508;20089;10965;848;774;7166;434;1982;1379;8916;21412;290226
".. Paraná";35553;15392;334;5641;1293;3819;-;6;22279;7415;4583;298;333;2578;203;744;533;2430;9172;112606
".. Santa Catarina";16491;9738;195;2927;423;1841;1;6;12882;4329;2227;167;159;1533;103;517;348;1436;4575;59898
".. Rio Grande do Sul";31024;19859;313;6897;1107;4887;1;5;23347;8345;4155;383;282;3055;128;721;498;5050;7665;117722
"Região Centro-Oeste";44595;15702;461;5801;1310;3091;1;5;25804;8935;5489;358;390;3124;331;1506;930;3003;12627;133463
".. Mato Grosso do Sul";7694;3040;87;930;106;552;1;2;5526;2062;973;107;90;673;63;223;149;680;2091;25049
".. Mato Grosso";10128;2977;113;1423;268;529;-;2;4797;1544;946;46;60;623;87;393;238;1280;3169;28623
".. Goiás";20301;6875;193;2631;534;1411;-;1;12192;4313;2722;160;178;1448;140;651;381;676;5905;60712
".. Distrito Federal";6472;2810;68;817;402;599;-;-;3289;1016;848;45;62;380;41;239;162;367;1462;19079
"Total";486667;235805;7296;96818;18409;49527;24;156;382507;142468;72317;8169;6170;50858;3408;18602;9992;94134;149322;1832649
 Fonte: MS/SVSA/CGIAE - Sistema de Informações sobre Mortalidade - SIM
 Notas:
 
 Dados finais disponíveis até 2024 - data de extração 02/12/2025.
 Dados de 2025 - Preliminares - data de extração 28/07/2026.
 Dados de 2026 - 1a prévia - data de extração 01/06/2026.
 
