 Mortalidade - Brasil
Óbitos p/Residênc por Região/Unidade da Federação e Capítulo CID-10
Período:2018
"Região/Unidade da Federação";"Cap I";"Cap II";"Cap III";"Cap IV";"Cap V";"Cap VI";"Cap VII";"Cap VIII";"Cap IX";"Cap X";"Cap XI";"Cap XII";"Cap XIII";"Cap XIV";"Cap XV";"Cap XVI";"Cap XVII";"Cap XVIII";"Cap XX";"Total"
"Região Norte";4248;11855;459;6074;407;1550;3;12;19232;8626;3625;258;307;2164;248;2664;1230;6165;15282;84409
".. Rondônia";395;1312;43;493;44;193;1;1;2090;882;328;10;21;263;13;168;113;505;1290;8165
".. Acre";192;595;32;288;26;87;1;-;910;539;181;5;13;118;9;133;63;213;689;4094
".. Amazonas";974;2817;96;1360;64;323;-;2;3201;1509;734;39;84;405;80;642;294;2158;2928;17710
".. Roraima";144;380;15;208;8;61;-;-;585;244;98;10;12;68;11;103;75;67;698;2787
".. Pará";2128;5141;226;2869;160;662;1;8;9508;4463;1726;171;151;1020;112;1274;487;2837;7569;40513
".. Amapá";162;446;18;215;10;71;-;1;690;336;164;9;10;86;14;169;74;218;652;3345
".. Tocantins";253;1164;29;641;95;153;-;-;2248;653;394;14;16;204;9;175;124;167;1456;7795
"Região Nordeste";14443;50615;1920;24840;3733;8042;6;47;93731;36024;17717;1838;1590;9352;591;6844;3147;20310;49179;343969
".. Maranhão";1682;4373;211;2960;309;646;2;9;10360;3107;1732;168;106;810;94;993;362;1790;4811;34525
".. Piauí";740;2737;137;1426;253;472;-;5;6306;2203;1040;102;66;437;51;468;209;859;2472;19983
".. Ceará";2265;9386;264;2584;736;1734;2;10;15446;7081;2883;363;341;1445;113;963;501;1725;9186;57028
".. Rio Grande do Norte";878;3535;108;1767;200;565;-;4;5608;2274;1088;115;127;622;27;360;158;629;3144;21209
".. Paraíba";1061;3971;132;2246;213;654;-;4;7635;3037;1341;124;170;906;40;413;205;1456;3036;26644
".. Pernambuco";2744;9326;316;4572;567;1427;1;7;17211;7528;3519;304;332;2051;96;962;557;1852;8639;62011
".. Alagoas";854;2438;106;1893;187;389;-;2;5925;1887;1130;89;88;441;26;385;192;696;2683;19411
".. Sergipe";514;1739;59;900;307;306;1;2;3068;1262;637;109;53;437;21;388;152;957;2112;13024
".. Bahia";3705;13110;587;6492;961;1849;-;4;22172;7645;4347;464;307;2203;123;1912;811;10346;13096;90134
"Região Sudeste";25240;107260;3072;31814;6260;19714;11;91;167213;76372;31200;3251;3053;23767;674;7407;4224;34634;52881;598138
".. Minas Gerais";6170;23704;839;7733;2528;4599;3;22;34538;17028;7072;689;768;4823;139;1746;990;9446;12782;135619
".. Espírito Santo";668;4499;74;1329;202;1072;-;5;6845;2395;1205;121;156;748;41;348;219;164;3409;23500
".. Rio de Janeiro";8021;22673;893;8354;1038;3676;3;29;38117;16410;5854;947;575;6283;176;1535;812;10605;14705;140706
".. São Paulo";10381;56384;1266;14398;2492;10367;5;35;87713;40539;17069;1494;1554;11913;318;3778;2203;14419;21985;298313
"Região Sul";6974;43141;730;13289;2178;9132;1;11;54604;24477;10087;636;818;5671;178;2268;1520;7197;20822;203734
".. Paraná";2163;14598;287;4931;905;3199;-;5;20351;9152;3975;202;312;2002;82;940;591;1604;8549;73848
".. Santa Catarina";1435;9233;141;2316;513;1492;-;2;11251;4797;2001;132;178;1307;35;544;357;1283;4251;41268
".. Rio Grande do Sul";3376;19310;302;6042;760;4441;1;4;23002;10528;4111;302;328;2362;61;784;572;4310;8022;88618
"Região Centro-Oeste";3774;15049;420;5348;1119;2597;-;8;22990;9692;4687;290;385;2474;171;1581;1035;2199;12650;86469
".. Mato Grosso do Sul";555;2953;65;1102;191;513;-;1;4968;2127;806;82;55;418;31;235;183;330;1985;16600
".. Mato Grosso";836;2767;117;1336;168;417;-;5;4478;1826;897;52;82;605;46;374;237;1040;2922;18205
".. Goiás";1802;6646;180;2300;441;1102;-;2;10465;4735;2291;131;167;1261;70;723;410;596;6185;39507
".. Distrito Federal";581;2683;58;610;319;565;-;-;3079;1004;693;25;81;190;24;249;205;233;1558;12157
"Total";54679;227920;6601;81365;13697;41035;21;169;357770;155191;67316;6273;6153;43428;1862;20764;11156;70505;150814;1316719
 Fonte: MS/SVSA/CGIAE - Sistema de Informações sobre Mortalidade - SIM
 Notas:
 
 Dados finais disponíveis até 2024 - data de extração 02/12/2025.
 Dados de 2025 - Preliminares - data de extração 28/07/2026.
 Dados de 2026 - 1a prévia - data de extração 01/06/2026.
 
