 Mortalidade - Brasil
Óbitos p/Residênc por Região/Unidade da Federação e Faixa Etária
Período:2019
"Região/Unidade da Federação";"Menor 1 ano";"1 a 4 anos";"5 a 9 anos";"10 a 14 anos";"15 a 19 anos";"20 a 29 anos";"30 a 39 anos";"40 a 49 anos";"50 a 59 anos";"60 a 69 anos";"70 a 79 anos";"80 anos e mais";"Idade ignorada";"Total"
"Região Norte";4744;938;479;602;2188;5900;5892;6695;9540;13473;15511;19417;307;85686
".. Rondônia";311;56;33;37;135;385;516;695;1095;1462;1647;1952;14;8338
".. Acre";259;57;38;27;103;260;280;322;457;631;730;916;18;4098
".. Amazonas";1241;247;110;158;509;1470;1292;1477;1984;2816;3095;3899;29;18327
".. Roraima";264;64;34;25;97;208;214;248;338;406;434;445;2;2779
".. Pará";2094;397;202;265;1021;2867;2857;3061;4396;6393;7568;9257;221;40599
".. Amapá";289;58;29;31;156;305;226;276;407;524;545;677;1;3524
".. Tocantins";286;59;33;59;167;405;507;616;863;1241;1492;2271;22;8021
"Região Nordeste";11035;1700;1009;1442;5800;16202;18668;24909;38868;54713;70088;107813;554;352801
".. Maranhão";1627;293;149;224;610;1778;2300;2635;3642;5465;6981;9372;52;35128
".. Piauí";702;101;52;83;266;807;1102;1398;2110;3033;4055;6792;27;20528
".. Ceará";1580;256;179;219;809;2326;2767;3727;5900;8247;11200;19326;44;56580
".. Rio Grande do Norte";547;84;57;68;386;1014;1066;1449;2437;3207;4351;7101;-;21767
".. Paraíba";752;121;68;91;298;908;1244;1869;2882;4181;5645;9293;26;27378
".. Pernambuco";1633;248;139;230;978;2744;3142;4524;7439;10416;13474;19100;228;64295
".. Alagoas";659;122;73;94;381;984;1013;1501;2444;3498;4213;5304;1;20287
".. Sergipe";565;63;39;57;244;735;782;989;1515;2141;2550;3793;-;13473
".. Bahia";2970;412;253;376;1828;4906;5252;6817;10499;14525;17619;27732;176;93365
"Região Sudeste";12707;2072;1038;1353;5609;17085;23223;38349;72208;114520;131281;195570;1228;616243
".. Minas Gerais";2942;501;269;347;1238;3790;5858;9387;16698;24705;29572;45663;52;141022
".. Espírito Santo";585;108;40;91;388;942;1080;1675;2920;4374;4763;7454;11;24431
".. Rio de Janeiro";2737;443;235;292;1841;5094;5427;8469;16553;27900;30874;44036;699;144600
".. São Paulo";6443;1020;494;623;2142;7259;10858;18818;36037;57541;66072;98417;466;306190
"Região Sul";3953;606;376;479;1817;5803;7414;12031;23808;38614;46990;64047;148;206086
".. Paraná";1582;283;146;187;750;2513;2976;4784;8756;13586;16828;22091;84;74566
".. Santa Catarina";942;126;89;110;377;1216;1581;2678;5295;8063;9332;12460;13;42282
".. Rio Grande do Sul";1429;197;141;182;690;2074;2857;4569;9757;16965;20830;29496;51;89238
"Região Centro-Oeste";2854;506;264;348;1287;3872;4787;6973;11010;15502;18170;23291;121;88985
".. Mato Grosso do Sul";485;88;53;74;211;601;795;1192;2104;2972;3540;4687;13;16815
".. Mato Grosso";747;143;60;102;305;903;1097;1614;2402;3297;3572;4073;26;18341
".. Goiás";1260;201;116;134;607;1880;2208;3158;4906;7107;8508;10858;82;41025
".. Distrito Federal";362;74;35;38;164;488;687;1009;1598;2126;2550;3673;-;12804
"Total";35293;5822;3166;4224;16701;48862;59984;88957;155434;236822;282040;410138;2358;1349801
 Fonte: MS/SVSA/CGIAE - Sistema de Informações sobre Mortalidade - SIM
 Notas:
 
 Dados finais disponíveis até 2024 - data de extração 02/12/2025.
 Dados de 2025 - Preliminares - data de extração 28/07/2026.
 Dados de 2026 - 1a prévia - data de extração 01/06/2026.
 
