 Mortalidade - Brasil
Óbitos p/Residênc por Região/Unidade da Federação e Faixa Etária
Período:2022
"Região/Unidade da Federação";"Menor 1 ano";"1 a 4 anos";"5 a 9 anos";"10 a 14 anos";"15 a 19 anos";"20 a 29 anos";"30 a 39 anos";"40 a 49 anos";"50 a 59 anos";"60 a 69 anos";"70 a 79 anos";"80 anos e mais";"Idade ignorada";"Total"
"Região Norte";4368;986;391;605;1848;6110;6201;7941;10661;15573;18053;23537;278;96552
".. Rondônia";334;69;23;54;138;474;606;875;1238;1776;2168;2511;11;10277
".. Acre";249;50;16;31;89;205;257;317;466;692;770;1007;10;4159
".. Amazonas";1138;273;100;130;450;1495;1371;1676;2255;3174;3564;4468;61;20155
".. Roraima";246;76;24;38;81;248;281;286;379;533;518;536;-;3246
".. Pará";1877;396;189;284;848;2830;2821;3619;4859;7408;8653;11526;189;45499
".. Amapá";246;51;13;30;103;350;287;338;437;577;589;825;-;3846
".. Tocantins";278;71;26;38;139;508;578;830;1027;1413;1791;2664;7;9370
"Região Nordeste";9992;1843;979;1339;5394;17813;19863;28959;43206;62039;81405;129714;586;403132
".. Maranhão";1501;278;154;204;610;1930;2521;3101;4236;6127;7898;11309;67;39936
".. Piauí";666;119;60;89;264;958;1202;1729;2463;3497;4900;8354;42;24343
".. Ceará";1317;240;134;197;863;2860;3074;4336;6549;9200;13017;22870;7;64664
".. Rio Grande do Norte";443;116;55;51;260;981;1122;1608;2592;3649;4871;8443;28;24219
".. Paraíba";749;145;72;96;311;1087;1385;2153;3344;4815;6633;11599;16;32405
".. Pernambuco";1558;295;164;231;855;2826;3213;5253;8107;11839;15128;22293;249;72011
".. Alagoas";587;131;56;75;346;1074;1128;1711;2795;4092;4938;6188;1;23122
".. Sergipe";503;78;40;42;179;729;770;1080;1666;2370;2972;4361;1;14791
".. Bahia";2668;441;244;354;1706;5368;5448;7988;11454;16450;21048;34297;175;107641
"Região Sudeste";11399;2153;1176;1309;4429;17460;23981;42044;74960;128305;154418;232684;1151;695469
".. Minas Gerais";2672;517;287;311;1104;4066;5759;10111;17724;28804;35024;56158;78;162615
".. Espírito Santo";558;141;74;82;330;1034;1232;1928;3033;5088;5539;8895;58;27992
".. Rio de Janeiro";2374;459;230;279;1154;4686;5091;8687;16214;29143;33940;48025;524;150806
".. São Paulo";5795;1036;585;637;1841;7674;11899;21318;37989;65270;79915;119606;491;354056
"Região Sul";3681;678;409;444;1654;6301;8360;13851;26262;44820;57766;80808;187;245221
".. Paraná";1451;300;152;187;758;2842;3526;5620;10048;16174;20469;28194;87;89808
".. Santa Catarina";961;172;103;98;342;1255;1833;3019;5920;9676;11940;15971;27;51317
".. Rio Grande do Sul";1269;206;154;159;554;2204;3001;5212;10294;18970;25357;36643;73;104096
"Região Centro-Oeste";2817;623;295;355;1131;4042;5289;8176;12503;18397;21589;28540;135;103892
".. Mato Grosso do Sul";500;112;69;76;182;722;996;1462;2408;3732;4295;5863;17;20434
".. Mato Grosso";819;198;78;113;340;1087;1239;1859;2749;3860;4314;5055;20;21731
".. Goiás";1136;237;113;121;465;1804;2364;3663;5587;8439;10183;13074;84;47270
".. Distrito Federal";362;76;35;45;144;429;690;1192;1759;2366;2797;4548;14;14457
"Total";32257;6283;3250;4052;14456;51726;63694;100971;167592;269134;333231;495283;2337;1544266
 Fonte: MS/SVSA/CGIAE - Sistema de Informações sobre Mortalidade - SIM
 Notas:
 
 Dados finais disponíveis até 2024 - data de extração 02/12/2025.
 Dados de 2025 - Preliminares - data de extração 28/07/2026.
 Dados de 2026 - 1a prévia - data de extração 01/06/2026.
 
