 Mortalidade - Brasil
Óbitos p/Residênc por Região/Unidade da Federação e Local ocorrência
Período:2020
"Região/Unidade da Federação";"Hospital";"Outro estabelecimento de saúde";"Domicílio";"Via pública";"Outros";"Ignorado";"Total"
"Região Norte";69015;4390;25728;4911;4809;161;109014
".. Rondônia";7238;163;1981;514;369;13;10278
".. Acre";3127;19;1190;195;317;12;4860
".. Amazonas";16535;361;6107;814;933;15;24765
".. Roraima";2356;19;797;104;297;7;3580
".. Pará";31105;3267;12424;2473;2277;97;51643
".. Amapá";3087;176;891;210;249;4;4617
".. Tocantins";5567;385;2338;601;367;13;9271
"Região Nordeste";244543;22155;114939;20382;13573;327;415919
".. Maranhão";25378;1474;12527;2234;1626;32;43271
".. Piauí";13702;173;7972;1016;745;38;23646
".. Ceará";38538;4827;19940;3898;2271;38;69512
".. Rio Grande do Norte";14166;1870;6671;1291;654;22;24674
".. Paraíba";19001;1004;8794;1248;1037;23;31107
".. Pernambuco";48380;4582;17968;3298;2310;36;76574
".. Alagoas";14900;775;6463;1232;765;13;24148
".. Sergipe";9959;165;4463;960;241;5;15793
".. Bahia";60519;7285;30141;5205;3924;120;107194
"Região Sudeste";491889;60276;118936;15200;16404;354;703059
".. Minas Gerais";99865;11721;32429;4102;3835;176;152128
".. Espírito Santo";20440;1385;5230;1182;843;31;29111
".. Rio de Janeiro";116165;24062;24886;3184;3845;43;172185
".. São Paulo";255419;23108;56391;6732;7881;104;349635
"Região Sul";153312;7266;46181;6863;8101;85;221808
".. Paraná";54970;3691;18296;3094;2498;24;82573
".. Santa Catarina";32709;993;9619;1421;1683;19;46444
".. Rio Grande do Sul";65633;2582;18266;2348;3920;42;92791
"Região Centro-Oeste";72839;6245;19798;4484;3594;64;107024
".. Mato Grosso do Sul";13155;656;3806;740;682;12;19051
".. Mato Grosso";15239;1715;4287;1263;882;11;23397
".. Goiás";32581;2928;9118;1976;1717;38;48358
".. Distrito Federal";11864;946;2587;505;313;3;16218
"Total";1031598;100332;325582;51840;46481;991;1556824
 Fonte: MS/SVSA/CGIAE - Sistema de Informações sobre Mortalidade - SIM
 Notas:
 
 Dados finais disponíveis até 2024 - data de extração 02/12/2025.
 Dados de 2025 - Preliminares - data de extração 28/07/2026.
 Dados de 2026 - 1a prévia - data de extração 01/06/2026.
 
