 Mortalidade - Brasil
Óbitos p/Residênc por Região/Unidade da Federação e Local ocorrência
Período:2016
"Região/Unidade da Federação";"Hospital";"Outro estabelecimento de saúde";"Domicílio";"Via pública";"Outros";"Ignorado";"Total"
"Região Norte";50245;1605;17505;6276;4236;238;80105
".. Rondônia";5757;95;1436;717;323;16;8344
".. Acre";2497;14;766;270;213;3;3763
".. Amazonas";10866;188;3906;1061;771;7;16799
".. Roraima";1336;34;466;96;208;17;2157
".. Pará";23080;1149;8694;3323;2135;176;38557
".. Amapá";2141;20;495;145;191;3;2995
".. Tocantins";4568;105;1742;664;395;16;7490
"Região Nordeste";207735;11078;91912;23598;12269;503;347095
".. Maranhão";19378;1460;9736;2444;1279;65;34362
".. Piauí";10989;120;6218;1207;614;39;19187
".. Ceará";30588;1906;15833;3505;2380;64;54276
".. Rio Grande do Norte";12754;991;5835;1604;698;40;21922
".. Paraíba";17323;565;7799;1456;876;22;28041
".. Pernambuco";43305;1871;15320;4642;1752;38;66928
".. Alagoas";12832;363;5257;1857;451;9;20769
".. Sergipe";8263;156;3451;1400;241;5;13516
".. Bahia";52303;3646;22463;5483;3978;221;88094
"Região Sudeste";421494;46612;92630;16797;17585;455;595573
".. Minas Gerais";89535;11212;24834;5260;4203;213;135257
".. Espírito Santo";16138;1053;3808;1207;598;64;22868
".. Rio de Janeiro";97274;16448;18909;3204;5225;29;141089
".. São Paulo";218547;17899;45079;7126;7559;149;296359
"Região Sul";141483;6255;39864;8108;6797;86;202593
".. Paraná";49091;3578;16369;3366;2310;26;74740
".. Santa Catarina";28197;918;8083;1546;1511;15;40270
".. Rio Grande do Sul";64195;1759;15412;3196;2976;45;87583
"Região Centro-Oeste";58042;3536;14223;5195;3357;55;84408
".. Mato Grosso do Sul";11336;710;3163;790;747;3;16749
".. Mato Grosso";11708;792;2961;1225;832;17;17535
".. Goiás";26041;1583;6399;2498;1522;31;38074
".. Distrito Federal";8957;451;1700;682;256;4;12050
"Total";878999;69086;256134;59974;44244;1337;1309774
 Fonte: MS/SVSA/CGIAE - Sistema de Informações sobre Mortalidade - SIM
 Notas:
 
 Dados finais disponíveis até 2024 - data de extração 02/12/2025.
 Dados de 2025 - Preliminares - data de extração 28/07/2026.
 Dados de 2026 - 1a prévia - data de extração 01/06/2026.
 
