 Óbitos fetais - Brasil
Óbitos p/Residênc por Região/Unidade da Federação e Local ocorrência
Período:2017
"Região/Unidade da Federação";"Hospital";"Outro estabelecimento de saúde";"Domicílio";"Via pública";"Outros";"Ignorado";"Total"
"Região Norte";3031;28;255;20;92;57;3483
".. Rondônia";232;-;7;2;1;2;244
".. Acre";144;5;4;-;5;2;160
".. Amazonas";716;1;125;3;33;14;892
".. Roraima";105;-;17;1;5;3;131
".. Pará";1433;20;80;10;43;28;1614
".. Amapá";189;-;11;2;1;-;203
".. Tocantins";212;2;11;2;4;8;239
"Região Nordeste";9410;128;286;74;144;157;10199
".. Maranhão";1423;15;63;11;20;19;1551
".. Piauí";596;4;26;6;7;11;650
".. Ceará";1217;3;45;11;45;61;1382
".. Rio Grande do Norte";495;5;18;2;12;6;538
".. Paraíba";597;2;11;3;8;10;631
".. Pernambuco";1430;29;22;9;16;7;1513
".. Alagoas";525;1;28;6;9;4;573
".. Sergipe";392;1;-;-;-;1;394
".. Bahia";2735;68;73;26;27;38;2967
"Região Sudeste";10901;145;214;42;78;39;11419
".. Minas Gerais";2634;14;68;15;19;19;2769
".. Espírito Santo";462;22;8;-;3;4;499
".. Rio de Janeiro";2780;28;51;9;14;12;2894
".. São Paulo";5025;81;87;18;42;4;5257
"Região Sul";3013;18;114;10;22;9;3186
".. Paraná";1129;8;33;2;4;4;1180
".. Santa Catarina";748;8;27;1;6;-;790
".. Rio Grande do Sul";1136;2;54;7;12;5;1216
"Região Centro-Oeste";2167;31;77;21;25;12;2333
".. Mato Grosso do Sul";448;8;16;-;8;-;480
".. Mato Grosso";497;2;23;5;4;2;533
".. Goiás";844;21;27;9;11;7;919
".. Distrito Federal";378;-;11;7;2;3;401
"Total";28522;350;946;167;361;274;30620
 Fonte: MS/SVSA/CGIAE - Sistema de Informações sobre Mortalidade - SIM
 Notas:
 
 Dados finais disponíveis até 2024 - data de extração 02/12/2025.
 Dados de 2025 - Preliminares - data de extração 28/07/2026.
 Dados de 2026 - 1a prévia - data de extração 01/06/2026.
 
