 Óbitos fetais - Brasil
Óbitos p/Residênc por Região/Unidade da Federação e Duração gestação
Período:2017
"Região/Unidade da Federação";"Menos de 22 semanas";"22 a 27 semanas";"28 a 31 semanas";"32 a 36 semanas";"37 a 41 semanas";"42 semanas e mais";"Ignorado";"Total"
"Região Norte";237;600;504;854;949;34;305;3483
".. Rondônia";14;45;36;74;55;1;19;244
".. Acre";6;32;25;34;48;2;13;160
".. Amazonas";53;179;126;216;243;13;62;892
".. Roraima";11;21;20;33;34;1;11;131
".. Pará";109;232;225;407;468;14;159;1614
".. Amapá";22;31;36;40;48;2;24;203
".. Tocantins";22;60;36;50;53;1;17;239
"Região Nordeste";668;2003;1406;2379;2519;95;1129;10199
".. Maranhão";120;213;221;369;442;27;159;1551
".. Piauí";38;134;87;149;167;6;69;650
".. Ceará";94;296;189;354;338;7;104;1382
".. Rio Grande do Norte";65;112;82;124;113;1;41;538
".. Paraíba";33;148;94;168;145;6;37;631
".. Pernambuco";81;279;193;358;328;9;265;1513
".. Alagoas";39;96;68;123;134;8;105;573
".. Sergipe";24;88;66;92;104;4;16;394
".. Bahia";174;637;406;642;748;27;333;2967
"Região Sudeste";792;2779;1951;2832;2107;27;931;11419
".. Minas Gerais";248;679;463;643;535;8;193;2769
".. Espírito Santo";11;112;87;137;108;3;41;499
".. Rio de Janeiro";185;640;560;763;542;3;201;2894
".. São Paulo";348;1348;841;1289;922;13;496;5257
"Região Sul";155;831;574;814;666;6;140;3186
".. Paraná";49;271;224;319;270;1;46;1180
".. Santa Catarina";44;219;139;197;162;2;27;790
".. Rio Grande do Sul";62;341;211;298;234;3;67;1216
"Região Centro-Oeste";129;592;386;619;500;6;101;2333
".. Mato Grosso do Sul";29;117;79;138;93;2;22;480
".. Mato Grosso";31;138;87;145;116;2;14;533
".. Goiás";42;223;162;239;205;2;46;919
".. Distrito Federal";27;114;58;97;86;-;19;401
"Total";1981;6805;4821;7498;6741;168;2606;30620
 Fonte: MS/SVSA/CGIAE - Sistema de Informações sobre Mortalidade - SIM
 Notas:
 
 Dados finais disponíveis até 2024 - data de extração 02/12/2025.
 Dados de 2025 - Preliminares - data de extração 28/07/2026.
 Dados de 2026 - 1a prévia - data de extração 01/06/2026.
 
