 Óbitos fetais - Brasil
Óbitos p/Residênc por Região/Unidade da Federação e Local ocorrência
Período:2019
"Região/Unidade da Federação";"Hospital";"Outro estabelecimento de saúde";"Domicílio";"Via pública";"Outros";"Ignorado";"Total"
"Região Norte";3090;31;255;27;78;57;3538
".. Rondônia";232;2;13;3;1;-;251
".. Acre";175;4;6;-;1;1;187
".. Amazonas";750;2;103;5;23;23;906
".. Roraima";135;-;9;1;1;-;146
".. Pará";1383;20;99;13;38;25;1578
".. Amapá";179;1;10;-;7;2;199
".. Tocantins";236;2;15;5;7;6;271
"Região Nordeste";8771;177;274;78;108;112;9520
".. Maranhão";1318;16;64;12;24;15;1449
".. Piauí";539;2;7;2;8;4;562
".. Ceará";1265;5;33;8;20;60;1391
".. Rio Grande do Norte";434;2;13;2;2;4;457
".. Paraíba";556;-;14;5;8;3;586
".. Pernambuco";1419;32;34;18;17;8;1528
".. Alagoas";520;2;17;5;6;2;552
".. Sergipe";337;2;11;1;-;-;351
".. Bahia";2383;116;81;25;23;16;2644
"Região Sudeste";10340;122;210;41;73;34;10820
".. Minas Gerais";2450;22;92;13;19;17;2613
".. Espírito Santo";468;14;4;-;3;-;489
".. Rio de Janeiro";2537;22;50;9;14;15;2647
".. São Paulo";4885;64;64;19;37;2;5071
"Região Sul";2856;25;98;8;19;11;3017
".. Paraná";1079;15;18;4;8;1;1125
".. Santa Catarina";772;1;31;2;2;2;810
".. Rio Grande do Sul";1005;9;49;2;9;8;1082
"Região Centro-Oeste";2045;38;83;11;22;11;2210
".. Mato Grosso do Sul";422;3;23;3;5;2;458
".. Mato Grosso";492;1;30;3;7;1;534
".. Goiás";780;34;23;2;9;8;856
".. Distrito Federal";351;-;7;3;1;-;362
"Total";27102;393;920;165;300;225;29105
 Fonte: MS/SVSA/CGIAE - Sistema de Informações sobre Mortalidade - SIM
 Notas:
 
 Dados finais disponíveis até 2024 - data de extração 02/12/2025.
 Dados de 2025 - Preliminares - data de extração 28/07/2026.
 Dados de 2026 - 1a prévia - data de extração 01/06/2026.
 
