 Óbitos fetais - Brasil
Óbitos p/Residênc por Região/Unidade da Federação e Local ocorrência
Período:2023
"Região/Unidade da Federação";"Hospital";"Outro estabelecimento de saúde";"Domicílio";"Via pública";"Outros";"Ignorado";"Total"
"Região Norte";2841;35;304;23;94;27;3324
".. Rondônia";186;1;9;-;3;-;199
".. Acre";117;1;7;1;1;-;127
".. Amazonas";723;4;107;5;48;8;895
".. Roraima";134;2;11;1;7;-;155
".. Pará";1317;21;156;10;28;13;1545
".. Amapá";151;4;5;1;3;2;166
".. Tocantins";213;2;9;5;4;4;237
"Região Nordeste";7661;130;293;65;107;72;8328
".. Maranhão";1053;18;92;13;42;14;1232
".. Piauí";414;-;21;5;3;7;450
".. Ceará";1055;4;34;6;16;3;1118
".. Rio Grande do Norte";371;2;15;4;5;2;399
".. Paraíba";488;5;9;1;8;2;513
".. Pernambuco";1157;36;30;9;11;4;1247
".. Alagoas";531;3;6;2;7;2;551
".. Sergipe";328;5;14;1;-;2;350
".. Bahia";2264;57;72;24;15;36;2468
"Região Sudeste";9279;119;208;33;65;17;9721
".. Minas Gerais";2201;19;84;9;20;6;2339
".. Espírito Santo";464;18;1;-;6;-;489
".. Rio de Janeiro";1995;24;44;5;10;8;2086
".. São Paulo";4619;58;79;19;29;3;4807
"Região Sul";2719;25;57;9;18;12;2840
".. Paraná";1066;17;20;3;8;2;1116
".. Santa Catarina";721;2;18;4;6;3;754
".. Rio Grande do Sul";932;6;19;2;4;7;970
"Região Centro-Oeste";2198;29;70;7;13;15;2332
".. Mato Grosso do Sul";407;6;17;2;6;1;439
".. Mato Grosso";548;6;20;2;4;4;584
".. Goiás";919;14;18;1;3;4;959
".. Distrito Federal";324;3;15;2;-;6;350
"Total";24698;338;932;137;297;143;26545
 Fonte: MS/SVSA/CGIAE - Sistema de Informações sobre Mortalidade - SIM
 Notas:
 
 Dados finais disponíveis até 2024 - data de extração 02/12/2025.
 Dados de 2025 - Preliminares - data de extração 28/07/2026.
 Dados de 2026 - 1a prévia - data de extração 01/06/2026.
 
