 Óbitos fetais - Brasil
Óbitos p/Residênc por Região/Unidade da Federação e Capítulo CID-10
Período:2017
"Região/Unidade da Federação";"Cap I";"Cap XVI";"Cap XVII";"Total"
"Região Norte";24;3307;152;3483
".. Rondônia";-;219;25;244
".. Acre";5;143;12;160
".. Amazonas";-;858;34;892
".. Roraima";1;125;5;131
".. Pará";9;1544;61;1614
".. Amapá";2;196;5;203
".. Tocantins";7;222;10;239
"Região Nordeste";122;9573;504;10199
".. Maranhão";1;1500;50;1551
".. Piauí";2;603;45;650
".. Ceará";17;1280;85;1382
".. Rio Grande do Norte";3;512;23;538
".. Paraíba";13;595;23;631
".. Pernambuco";63;1335;115;1513
".. Alagoas";1;541;31;573
".. Sergipe";1;377;16;394
".. Bahia";21;2830;116;2967
"Região Sudeste";285;10357;777;11419
".. Minas Gerais";55;2486;228;2769
".. Espírito Santo";4;477;18;499
".. Rio de Janeiro";206;2525;163;2894
".. São Paulo";20;4869;368;5257
"Região Sul";57;2830;299;3186
".. Paraná";13;1044;123;1180
".. Santa Catarina";10;707;73;790
".. Rio Grande do Sul";34;1079;103;1216
"Região Centro-Oeste";35;2127;171;2333
".. Mato Grosso do Sul";8;433;39;480
".. Mato Grosso";4;484;45;533
".. Goiás";13;847;59;919
".. Distrito Federal";10;363;28;401
"Total";523;28194;1903;30620
 Fonte: MS/SVSA/CGIAE - Sistema de Informações sobre Mortalidade - SIM
 Notas:
 
 Dados finais disponíveis até 2024 - data de extração 02/12/2025.
 Dados de 2025 - Preliminares - data de extração 28/07/2026.
 Dados de 2026 - 1a prévia - data de extração 01/06/2026.
 
