 Óbitos de mulheres em idade fértil e óbitos maternos - Brasil
Óbitos mulheres idade fértil por Região/Unidade da Federação e Tipo causa obstétr
Período:2016
"Região/Unidade da Federação";"Morte materna obstétrica direta";"Morte materna obstétrica indireta";"Morte materna obstétrica não especificada";"Total"
"Região Norte";166;353;5;524
".. Rondônia";12;26;-;38
".. Acre";8;4;-;12
".. Amazonas";37;84;5;126
".. Roraima";5;7;-;12
".. Pará";73;206;-;279
".. Amapá";15;11;-;26
".. Tocantins";16;15;-;31
"Região Nordeste";366;827;21;1214
".. Maranhão";85;130;1;216
".. Piauí";33;35;1;69
".. Ceará";53;100;-;153
".. Rio Grande do Norte";16;44;3;63
".. Paraíba";27;44;9;80
".. Pernambuco";43;201;-;244
".. Alagoas";20;49;-;69
".. Sergipe";12;20;1;33
".. Bahia";77;204;6;287
"Região Sudeste";380;1434;16;1830
".. Minas Gerais";95;185;2;282
".. Espírito Santo";15;62;-;77
".. Rio de Janeiro";87;539;8;634
".. São Paulo";183;648;6;837
"Região Sul";110;660;4;774
".. Paraná";53;158;1;212
".. Santa Catarina";19;134;1;154
".. Rio Grande do Sul";38;368;2;408
"Região Centro-Oeste";99;224;4;327
".. Mato Grosso do Sul";22;48;1;71
".. Mato Grosso";29;64;-;93
".. Goiás";31;84;2;117
".. Distrito Federal";17;28;1;46
"Total";1121;3498;50;4669
 Fonte: MS/SVSA/CGIAE - Sistema de Informações sobre Mortalidade - SIM
 Notas:
 
 Dados finais disponíveis até 2024 - data de extração 02/12/2025.
 Dados de 2025 - Preliminares - data de extração 28/07/2026.
 Dados de 2026 - 1a prévia - data de extração 01/06/2026.
 
