 Óbitos de mulheres em idade fértil e óbitos maternos - Brasil
Óbitos mulheres idade fértil por Região/Unidade da Federação e Local ocorrência
Período:2018
"Região/Unidade da Federação";"Hospital";"Outro estabelecimento de saúde";"Domicílio";"Via pública";"Outros";"Ignorado";"Total"
"Região Norte";3988;152;910;422;285;5;5762
".. Rondônia";327;6;77;51;15;-;476
".. Acre";187;-;64;28;15;1;295
".. Amazonas";962;4;197;70;60;-;1293
".. Roraima";152;4;39;5;30;-;230
".. Pará";1844;118;419;205;136;3;2725
".. Amapá";203;9;30;12;13;-;267
".. Tocantins";313;11;84;51;16;1;476
"Região Nordeste";11979;892;3068;1338;677;14;17968
".. Maranhão";1504;71;356;150;80;1;2162
".. Piauí";675;7;223;66;34;2;1007
".. Ceará";1711;147;539;360;127;3;2887
".. Rio Grande do Norte";670;41;176;71;40;1;999
".. Paraíba";841;24;205;90;41;2;1203
".. Pernambuco";2007;250;443;179;93;1;2973
".. Alagoas";782;39;186;72;28;-;1107
".. Sergipe";514;8;122;34;9;-;687
".. Bahia";3275;305;818;316;225;4;4943
"Região Sudeste";19129;2176;3148;1129;832;16;26430
".. Minas Gerais";4132;455;961;359;240;8;6155
".. Espírito Santo";856;58;147;77;42;2;1182
".. Rio de Janeiro";4583;896;562;164;232;1;6438
".. São Paulo";9558;767;1478;529;318;5;12655
"Região Sul";6076;290;1274;558;308;2;8508
".. Paraná";2302;144;520;215;126;-;3307
".. Santa Catarina";1363;37;287;129;62;-;1878
".. Rio Grande do Sul";2411;109;467;214;120;2;3323
"Região Centro-Oeste";3424;289;763;348;195;6;5025
".. Mato Grosso do Sul";581;33;143;67;51;1;876
".. Mato Grosso";808;53;129;84;41;3;1118
".. Goiás";1475;169;373;155;85;1;2258
".. Distrito Federal";560;34;118;42;18;1;773
"Total";44596;3799;9163;3795;2297;43;63693
 Fonte: MS/SVSA/CGIAE - Sistema de Informações sobre Mortalidade - SIM
 Notas:
 
 Dados finais disponíveis até 2024 - data de extração 02/12/2025.
 Dados de 2025 - Preliminares - data de extração 28/07/2026.
 Dados de 2026 - 1a prévia - data de extração 01/06/2026.
 
