 Óbitos de mulheres em idade fértil e óbitos maternos - Brasil
Óbitos mulheres idade fértil por Região/Unidade da Federação e Local ocorrência
Período:2023
"Região/Unidade da Federação";"Hospital";"Outro estabelecimento de saúde";"Domicílio";"Via pública";"Outros";"Ignorado";"Total"
"Região Norte";4162;271;996;385;325;1;6140
".. Rondônia";392;11;82;44;20;-;549
".. Acre";184;1;68;17;13;-;283
".. Amazonas";1025;7;253;62;70;-;1417
".. Roraima";190;4;57;16;26;-;293
".. Pará";1865;210;423;173;151;-;2822
".. Amapá";185;7;30;9;13;-;244
".. Tocantins";321;31;83;64;32;1;532
"Região Nordeste";12614;1245;3339;1145;890;10;19243
".. Maranhão";1505;79;369;168;111;2;2234
".. Piauí";777;13;202;73;46;-;1111
".. Ceará";1826;193;494;175;163;1;2852
".. Rio Grande do Norte";670;75;170;46;29;2;992
".. Paraíba";927;53;241;69;62;1;1353
".. Pernambuco";2188;267;507;188;125;1;3276
".. Alagoas";873;107;176;56;69;1;1282
".. Sergipe";502;10;140;39;12;-;703
".. Bahia";3346;448;1040;331;273;2;5440
"Região Sudeste";19433;2551;3929;1108;850;16;27887
".. Minas Gerais";4241;491;1152;341;254;11;6490
".. Espírito Santo";881;128;212;73;51;3;1348
".. Rio de Janeiro";4349;971;645;191;191;2;6349
".. São Paulo";9962;961;1920;503;354;-;13700
"Região Sul";6224;385;1403;591;392;3;8998
".. Paraná";2360;204;543;250;164;-;3521
".. Santa Catarina";1485;57;345;134;103;1;2125
".. Rio Grande do Sul";2379;124;515;207;125;2;3352
"Região Centro-Oeste";3662;367;888;368;188;-;5473
".. Mato Grosso do Sul";716;30;147;91;43;-;1027
".. Mato Grosso";873;95;219;121;43;-;1351
".. Goiás";1596;168;385;119;81;-;2349
".. Distrito Federal";477;74;137;37;21;-;746
"Total";46095;4819;10555;3597;2645;30;67741
 Fonte: MS/SVSA/CGIAE - Sistema de Informações sobre Mortalidade - SIM
 Notas:
 
 Dados finais disponíveis até 2024 - data de extração 02/12/2025.
 Dados de 2025 - Preliminares - data de extração 28/07/2026.
 Dados de 2026 - 1a prévia - data de extração 01/06/2026.
 
