 Óbitos de mulheres em idade fértil e óbitos maternos - Brasil
Óbitos mulheres idade fértil por Região/Unidade da Federação e Capítulo CID-10
Período:2023
"Região/Unidade da Federação";"Cap I";"Cap II";"Cap III";"Cap IV";"Cap V";"Cap VI";"Cap VII";"Cap VIII";"Cap IX";"Cap X";"Cap XI";"Cap XII";"Cap XIII";"Cap XIV";"Cap XV";"Cap XVI";"Cap XVII";"Cap XVIII";"Cap XX";"Total"
"Região Norte";565;1477;79;251;34;189;-;-;817;368;270;24;113;162;221;1;40;263;1266;6140
".. Rondônia";36;138;2;15;6;16;-;-;78;31;19;2;11;8;11;-;3;34;139;549
".. Acre";26;64;3;5;2;8;-;-;39;24;12;-;2;6;6;1;-;16;69;283
".. Amazonas";144;392;22;67;4;45;-;-;148;61;55;4;35;34;65;-;10;55;276;1417
".. Roraima";29;59;6;15;2;8;-;-;33;10;12;2;12;10;17;-;1;4;73;293
".. Pará";276;658;34;124;8;91;-;-;388;195;135;13;44;84;92;-;20;138;522;2822
".. Amapá";24;65;5;9;-;5;-;-;37;13;11;2;3;7;12;-;2;11;38;244
".. Tocantins";30;101;7;16;12;16;-;-;94;34;26;1;6;13;18;-;4;5;149;532
"Região Nordeste";1289;4673;260;981;199;591;-;8;3417;1075;961;106;247;507;484;6;132;870;3437;19243
".. Maranhão";177;472;34;105;21;59;-;2;375;151;121;9;23;80;91;2;15;90;407;2234
".. Piauí";49;279;11;53;14;45;-;-;180;69;60;8;14;32;28;-;10;40;219;1111
".. Ceará";163;800;27;107;27;100;-;-;443;169;145;12;44;66;64;-;18;58;609;2852
".. Rio Grande do Norte";68;283;16;46;8;26;-;1;181;47;45;3;24;27;29;-;6;38;144;992
".. Paraíba";81;346;21;67;4;35;-;-;256;78;72;8;10;44;35;-;15;44;237;1353
".. Pernambuco";265;790;31;154;33;97;-;2;632;172;170;23;41;79;77;3;23;83;601;3276
".. Alagoas";116;302;16;66;17;31;-;1;254;82;78;3;15;21;34;-;5;49;192;1282
".. Sergipe";42;184;10;40;11;21;-;-;116;35;39;3;11;25;14;-;2;40;110;703
".. Bahia";328;1217;94;343;64;177;-;2;980;272;231;37;65;133;112;1;38;428;918;5440
"Região Sudeste";1870;7088;309;1388;347;893;1;6;5026;1676;1398;119;349;803;583;9;213;1639;4170;27887
".. Minas Gerais";411;1501;88;356;131;247;-;-;946;360;345;29;75;196;119;-;48;493;1145;6490
".. Espírito Santo";81;335;15;107;22;45;-;1;222;53;73;6;14;41;26;-;13;7;287;1348
".. Rio de Janeiro";564;1611;87;327;73;147;1;-;1139;333;245;25;78;190;182;-;39;426;882;6349
".. São Paulo";814;3641;119;598;121;454;-;5;2719;930;735;59;182;376;256;9;113;713;1856;13700
"Região Sul";711;2596;63;438;160;320;-;1;1187;442;393;28;96;177;161;9;102;244;1870;8998
".. Paraná";213;1004;32;165;77;128;-;1;474;194;182;9;47;65;69;-;35;72;754;3521
".. Santa Catarina";163;637;16;86;24;72;-;-;299;91;89;8;15;40;36;-;22;50;477;2125
".. Rio Grande do Sul";335;955;15;187;59;120;-;-;414;157;122;11;34;72;56;9;45;122;639;3352
"Região Centro-Oeste";312;1357;54;298;52;168;-;3;860;301;290;24;80;130;148;-;51;169;1176;5473
".. Mato Grosso do Sul";59;252;8;45;2;35;-;-;168;68;59;9;15;29;26;-;10;39;203;1027
".. Mato Grosso";91;286;13;82;14;41;-;2;207;64;42;4;22;34;45;-;8;47;349;1351
".. Goiás";126;600;24;144;30;70;-;1;370;135;150;8;30;56;57;-;24;43;481;2349
".. Distrito Federal";36;219;9;27;6;22;-;-;115;34;39;3;13;11;20;-;9;40;143;746
"Total";4747;17191;765;3356;792;2161;1;18;11307;3862;3312;301;885;1779;1597;25;538;3185;11919;67741
 Fonte: MS/SVSA/CGIAE - Sistema de Informações sobre Mortalidade - SIM
 Notas:
 
 Dados finais disponíveis até 2024 - data de extração 02/12/2025.
 Dados de 2025 - Preliminares - data de extração 28/07/2026.
 Dados de 2026 - 1a prévia - data de extração 01/06/2026.
 
