 Óbitos de mulheres em idade fértil e óbitos maternos - Brasil
Óbitos mulheres idade fértil por Região/Unidade da Federação e Faixa Etária
Período:2017
"Região/Unidade da Federação";"10 a 14 anos";"15 a 19 anos";"20 a 29 anos";"30 a 39 anos";"40 a 49 anos";"Total"
"Região Norte";234;476;1124;1653;2192;5679
".. Rondônia";25;33;95;155;224;532
".. Acre";16;26;48;67;111;268
".. Amazonas";52;105;250;367;455;1229
".. Roraima";16;20;46;50;64;196
".. Pará";106;233;525;805;1026;2695
".. Amapá";4;24;53;66;89;236
".. Tocantins";15;35;107;143;223;523
"Região Nordeste";589;1219;2988;5166;8432;18394
".. Maranhão";90;169;411;658;846;2174
".. Piauí";33;59;169;297;468;1026
".. Ceará";96;203;449;738;1199;2685
".. Rio Grande do Norte";36;77;173;258;433;977
".. Paraíba";43;80;190;361;572;1246
".. Pernambuco";88;200;506;883;1571;3248
".. Alagoas";44;88;178;344;622;1276
".. Sergipe";24;53;118;190;366;751
".. Bahia";135;290;794;1437;2355;5011
"Região Sudeste";587;1248;3717;7368;13738;26658
".. Minas Gerais";144;299;873;1754;3300;6370
".. Espírito Santo";35;69;184;357;595;1240
".. Rio de Janeiro";112;285;933;1761;3196;6287
".. São Paulo";296;595;1727;3496;6647;12761
"Região Sul";215;495;1262;2386;4404;8762
".. Paraná";84;198;457;881;1699;3319
".. Santa Catarina";50;121;299;537;898;1905
".. Rio Grande do Sul";81;176;506;968;1807;3538
"Região Centro-Oeste";156;310;789;1379;2239;4873
".. Mato Grosso do Sul";28;59;141;238;371;837
".. Mato Grosso";44;73;187;328;482;1114
".. Goiás";63;136;356;638;1027;2220
".. Distrito Federal";21;42;105;175;359;702
"Total";1781;3748;9880;17952;31005;64366
 Fonte: MS/SVSA/CGIAE - Sistema de Informações sobre Mortalidade - SIM
 Notas:
 
 Dados finais disponíveis até 2024 - data de extração 02/12/2025.
 Dados de 2025 - Preliminares - data de extração 28/07/2026.
 Dados de 2026 - 1a prévia - data de extração 01/06/2026.
 
