 Óbitos de mulheres em idade fértil e óbitos maternos - Brasil
Óbitos mulheres idade fértil por Região/Unidade da Federação e Capítulo CID-10
Período:2021
"Região/Unidade da Federação";"Cap I";"Cap II";"Cap III";"Cap IV";"Cap V";"Cap VI";"Cap VII";"Cap VIII";"Cap IX";"Cap X";"Cap XI";"Cap XII";"Cap XIII";"Cap XIV";"Cap XV";"Cap XVI";"Cap XVII";"Cap XVIII";"Cap XX";"Total"
"Região Norte";2780;1438;87;292;39;154;1;2;797;375;251;29;104;158;478;-;39;341;1249;8614
".. Rondônia";405;116;3;17;2;11;-;-;66;21;12;2;9;16;46;-;2;30;133;891
".. Acre";140;68;3;9;4;14;-;-;58;41;11;1;2;10;15;-;2;31;61;470
".. Amazonas";851;350;22;71;8;38;1;1;156;84;52;4;34;37;127;-;8;103;278;2225
".. Roraima";140;56;3;13;-;5;-;-;16;8;8;-;7;3;40;-;2;10;71;382
".. Pará";927;640;48;135;13;64;-;1;365;178;126;18;43;76;185;-;24;147;512;3502
".. Amapá";111;88;2;12;1;8;-;-;39;17;12;2;5;8;19;-;-;9;60;393
".. Tocantins";206;120;6;35;11;14;-;-;97;26;30;2;4;8;46;-;1;11;134;751
"Região Nordeste";6488;4326;255;1100;222;503;-;1;3184;1055;914;106;214;451;955;1;128;1211;3360;24474
".. Maranhão";627;543;37;110;12;53;-;-;346;138;112;12;29;48;165;-;15;112;392;2751
".. Piauí";304;270;14;60;13;22;-;-;207;61;54;11;24;16;68;-;11;53;216;1404
".. Ceará";1111;698;34;95;21;81;-;1;457;154;146;15;31;61;145;-;20;78;696;3844
".. Rio Grande do Norte";474;247;11;55;13;35;-;-;163;58;60;8;13;30;71;-;6;43;147;1434
".. Paraíba";579;327;9;86;12;28;-;-;244;89;60;9;10;35;79;-;15;85;197;1864
".. Pernambuco";1107;793;37;238;52;96;-;-;526;241;165;16;40;68;119;-;27;169;570;4264
".. Alagoas";429;229;17;71;15;22;-;-;212;50;56;7;14;26;58;-;7;93;153;1459
".. Sergipe";279;161;19;42;11;19;-;-;130;23;29;1;10;22;33;-;4;46;94;923
".. Bahia";1578;1058;77;343;73;147;-;-;899;241;232;27;43;145;217;1;23;532;895;6531
"Região Sudeste";15009;6695;353;1638;357;815;1;10;5277;1727;1328;149;315;777;1205;3;175;2218;3925;41977
".. Minas Gerais";2890;1432;78;377;162;212;-;3;1082;308;364;34;68;189;248;1;43;536;1057;9084
".. Espírito Santo";497;293;15;80;24;39;-;-;231;44;55;5;12;31;63;1;13;19;292;1714
".. Rio de Janeiro";3167;1462;108;435;56;141;1;4;1190;417;255;33;75;201;368;-;34;680;831;9458
".. São Paulo";8455;3508;152;746;115;423;-;3;2774;958;654;77;160;356;526;1;85;983;1745;21721
"Região Sul";5637;2450;64;518;138;286;-;-;1277;383;441;24;74;199;434;6;71;344;1771;14117
".. Paraná";2510;911;23;203;71;135;-;-;540;163;209;9;34;73;203;1;30;112;765;5992
".. Santa Catarina";1084;573;15;96;19;64;-;-;304;83;77;7;11;46;103;-;14;59;395;2950
".. Rio Grande do Sul";2043;966;26;219;48;87;-;-;433;137;155;8;29;80;128;5;27;173;611;5175
"Região Centro-Oeste";3477;1281;64;311;65;166;-;1;913;244;261;21;69;135;330;1;45;168;1117;8669
".. Mato Grosso do Sul";632;238;8;51;5;26;-;1;207;48;48;6;13;35;63;-;6;31;222;1640
".. Mato Grosso";852;256;18;74;15;28;-;-;178;49;41;5;13;30;86;-;7;75;292;2019
".. Goiás";1598;559;29;145;40;80;-;-;408;119;131;9;27;55;140;1;21;38;478;3878
".. Distrito Federal";395;228;9;41;5;32;-;-;120;28;41;1;16;15;41;-;11;24;125;1132
"Total";33391;16190;823;3859;821;1924;2;14;11448;3784;3195;329;776;1720;3402;11;458;4282;11422;97851
 Fonte: MS/SVSA/CGIAE - Sistema de Informações sobre Mortalidade - SIM
 Notas:
 
 Dados finais disponíveis até 2024 - data de extração 02/12/2025.
 Dados de 2025 - Preliminares - data de extração 28/07/2026.
 Dados de 2026 - 1a prévia - data de extração 01/06/2026.
 
