 Óbitos de mulheres em idade fértil e óbitos maternos - Brasil
Óbitos mulheres idade fértil por Região/Unidade da Federação e Local ocorrência
Período:2020
"Região/Unidade da Federação";"Hospital";"Outro estabelecimento de saúde";"Domicílio";"Via pública";"Outros";"Ignorado";"Total"
"Região Norte";4735;259;1149;367;328;6;6844
".. Rondônia";455;7;92;45;26;1;626
".. Acre";206;1;72;18;18;1;316
".. Amazonas";1163;29;270;57;58;-;1577
".. Roraima";201;-;55;7;21;-;284
".. Pará";2097;189;513;177;157;3;3136
".. Amapá";282;10;45;11;34;1;383
".. Tocantins";331;23;102;52;14;-;522
"Região Nordeste";13935;1272;3707;1230;835;23;21002
".. Maranhão";1725;89;430;171;120;1;2536
".. Piauí";797;16;260;62;28;2;1165
".. Ceará";2006;230;606;255;136;1;3234
".. Rio Grande do Norte";783;69;161;63;25;3;1104
".. Paraíba";990;41;245;72;61;4;1413
".. Pernambuco";2589;285;549;192;148;3;3766
".. Alagoas";908;63;205;75;46;1;1298
".. Sergipe";549;13;155;43;7;-;767
".. Bahia";3588;466;1096;297;264;8;5719
"Região Sudeste";22343;2915;3999;1034;810;10;31111
".. Minas Gerais";4527;568;1143;291;227;7;6763
".. Espírito Santo";1051;74;209;78;55;1;1468
".. Rio de Janeiro";5541;1268;740;170;216;1;7936
".. São Paulo";11224;1005;1907;495;312;1;14944
"Região Sul";6424;351;1427;551;345;11;9109
".. Paraná";2461;185;561;244;120;4;3575
".. Santa Catarina";1445;51;324;134;84;3;2041
".. Rio Grande do Sul";2518;115;542;173;141;4;3493
"Região Centro-Oeste";4025;361;810;398;182;1;5777
".. Mato Grosso do Sul";691;42;169;77;40;-;1019
".. Mato Grosso";931;89;190;114;44;-;1368
".. Goiás";1790;179;336;164;83;1;2553
".. Distrito Federal";613;51;115;43;15;-;837
"Total";51462;5158;11092;3580;2500;51;73843
 Fonte: MS/SVSA/CGIAE - Sistema de Informações sobre Mortalidade - SIM
 Notas:
 
 Dados finais disponíveis até 2024 - data de extração 02/12/2025.
 Dados de 2025 - Preliminares - data de extração 28/07/2026.
 Dados de 2026 - 1a prévia - data de extração 01/06/2026.
 
