 Óbitos de mulheres em idade fértil e óbitos maternos - Brasil
Óbitos mulheres idade fértil por Região/Unidade da Federação e Faixa Etária
Período:2019
"Região/Unidade da Federação";"10 a 14 anos";"15 a 19 anos";"20 a 29 anos";"30 a 39 anos";"40 a 49 anos";"Total"
"Região Norte";237;449;1110;1614;2331;5741
".. Rondônia";16;29;73;167;218;503
".. Acre";15;26;53;77;114;285
".. Amazonas";52;118;258;340;553;1321
".. Roraima";10;35;54;60;87;246
".. Pará";108;196;542;769;1049;2664
".. Amapá";14;20;52;65;107;258
".. Tocantins";22;25;78;136;203;464
"Região Nordeste";559;1019;2914;4986;8485;17963
".. Maranhão";92;144;387;642;892;2157
".. Piauí";34;71;179;290;475;1049
".. Ceará";90;157;472;725;1186;2630
".. Rio Grande do Norte";30;50;169;286;464;999
".. Paraíba";41;50;182;351;647;1271
".. Pernambuco";80;161;473;833;1584;3131
".. Alagoas";30;72;192;270;551;1115
".. Sergipe";22;39;103;194;323;681
".. Bahia";140;275;757;1395;2363;4930
"Região Sudeste";557;1225;3892;7352;14056;27082
".. Minas Gerais";148;280;855;1763;3265;6311
".. Espírito Santo";36;61;175;321;585;1178
".. Rio de Janeiro";114;287;954;1782;3430;6567
".. São Paulo";259;597;1908;3486;6776;13026
"Região Sul";212;421;1203;2287;4397;8520
".. Paraná";85;176;479;870;1689;3299
".. Santa Catarina";46;96;274;509;951;1876
".. Rio Grande do Sul";81;149;450;908;1757;3345
"Região Centro-Oeste";139;267;784;1389;2373;4952
".. Mato Grosso do Sul";28;46;160;244;433;911
".. Mato Grosso";46;73;192;324;515;1150
".. Goiás";45;110;337;618;1069;2179
".. Distrito Federal";20;38;95;203;356;712
"Total";1704;3381;9903;17628;31642;64258
 Fonte: MS/SVSA/CGIAE - Sistema de Informações sobre Mortalidade - SIM
 Notas:
 
 Dados finais disponíveis até 2024 - data de extração 02/12/2025.
 Dados de 2025 - Preliminares - data de extração 28/07/2026.
 Dados de 2026 - 1a prévia - data de extração 01/06/2026.
 
