 Óbitos de mulheres em idade fértil e óbitos maternos - Brasil
Óbitos mulheres idade fértil por Região/Unidade da Federação e Capítulo CID-10
Período:2025
"Região/Unidade da Federação";"Cap I";"Cap II";"Cap III";"Cap IV";"Cap V";"Cap VI";"Cap VII";"Cap VIII";"Cap IX";"Cap X";"Cap XI";"Cap XII";"Cap XIII";"Cap XIV";"Cap XV";"Cap XVI";"Cap XVII";"Cap XVIII";"Cap XX";"Total"
"Região Norte";584;1598;99;310;41;190;-;3;816;402;279;29;107;149;208;-;48;296;1331;6490
".. Rondônia";38;144;5;37;5;16;-;1;70;36;19;3;4;10;16;-;6;30;141;581
".. Acre";21;88;1;12;-;10;-;-;43;19;13;-;10;4;8;-;3;10;52;294
".. Amazonas";153;389;26;68;11;39;-;-;161;75;61;6;34;42;54;-;9;62;242;1432
".. Roraima";22;69;7;8;-;6;-;1;30;15;10;3;3;5;11;-;2;10;100;302
".. Pará";296;706;50;150;11;95;-;-;390;204;136;15;41;76;98;-;20;156;585;3029
".. Amapá";33;76;4;11;1;11;-;-;34;21;11;1;9;6;9;-;2;14;56;299
".. Tocantins";21;126;6;24;13;13;-;1;88;32;29;1;6;6;12;-;6;14;155;553
"Região Nordeste";1184;4697;235;1014;211;695;-;7;3351;1191;973;124;263;523;454;3;163;906;3482;19476
".. Maranhão";189;508;36;138;20;97;-;-;364;159;103;14;36;62;75;-;15;119;401;2336
".. Piauí";65;306;19;72;13;43;-;1;168;66;41;6;15;30;34;-;16;47;228;1170
".. Ceará";143;760;16;94;25;98;-;3;454;160;144;19;47;70;47;1;26;64;692;2863
".. Rio Grande do Norte";50;269;12;47;7;50;-;1;181;58;53;3;8;37;25;-;12;44;164;1021
".. Paraíba";69;337;12;74;15;46;-;-;255;110;54;5;16;44;36;-;15;53;217;1358
".. Pernambuco";236;818;35;181;28;109;-;-;629;203;213;23;40;97;57;-;33;64;620;3386
".. Alagoas";78;273;11;67;11;41;-;-;243;75;66;11;10;31;35;-;3;48;220;1223
".. Sergipe";46;196;8;43;8;23;-;1;139;51;29;5;10;25;19;1;4;23;116;747
".. Bahia";308;1230;86;298;84;188;-;1;918;309;270;38;81;127;126;1;39;444;824;5372
"Região Sudeste";1687;7411;315;1444;334;920;1;8;5111;1959;1291;149;327;759;514;6;221;1631;4463;28551
".. Minas Gerais";310;1608;84;341;125;224;1;1;926;425;301;28;62;183;95;-;49;449;1296;6508
".. Espírito Santo";73;359;11;115;24;40;-;1;231;44;56;10;14;41;28;-;16;3;268;1334
".. Rio de Janeiro";468;1637;88;389;66;188;-;-;1212;348;239;37;68;187;164;1;42;428;940;6502
".. São Paulo";836;3807;132;599;119;468;-;6;2742;1142;695;74;183;348;227;5;114;751;1959;14207
"Região Sul";573;2691;74;501;183;321;1;5;1178;539;417;33;107;193;159;5;103;283;1753;9119
".. Paraná";172;991;31;189;88;132;-;2;452;219;202;19;49;73;74;1;42;91;746;3573
".. Santa Catarina";117;697;14;105;17;84;1;-;310;107;75;6;24;45;41;-;25;70;426;2164
".. Rio Grande do Sul";284;1003;29;207;78;105;-;3;416;213;140;8;34;75;44;4;36;122;581;3382
"Região Centro-Oeste";311;1345;59;318;62;179;-;6;803;319;276;23;91;133;123;-;59;231;1164;5502
".. Mato Grosso do Sul";68;250;8;58;13;30;-;-;155;69;52;4;15;29;25;-;9;31;226;1042
".. Mato Grosso";99;276;17;93;16;38;-;-;208;75;68;6;21;31;30;-;8;70;311;1367
".. Goiás";119;581;23;128;25;79;-;4;344;146;128;13;39;60;57;-;26;80;509;2361
".. Distrito Federal";25;238;11;39;8;32;-;2;96;29;28;-;16;13;11;-;16;50;118;732
"Total";4339;17742;782;3587;831;2305;2;29;11259;4410;3236;358;895;1757;1458;14;594;3347;12193;69138
 Fonte: MS/SVSA/CGIAE - Sistema de Informações sobre Mortalidade - SIM
 Notas:
 
 Dados finais disponíveis até 2024 - data de extração 02/12/2025.
 Dados de 2025 - Preliminares - data de extração 28/07/2026.
 Dados de 2026 - 1a prévia - data de extração 01/06/2026.
 
