 Óbitos de mulheres em idade fértil e óbitos maternos - Brasil
Óbitos mulheres idade fértil por Região/Unidade da Federação e Local ocorrência
Período:2019
"Região/Unidade da Federação";"Hospital";"Outro estabelecimento de saúde";"Domicílio";"Via pública";"Outros";"Ignorado";"Total"
"Região Norte";3916;196;936;368;318;7;5741
".. Rondônia";349;9;82;42;21;-;503
".. Acre";184;-;64;19;18;-;285
".. Amazonas";921;11;244;72;72;1;1321
".. Roraima";170;-;44;9;23;-;246
".. Pará";1769;156;407;176;151;5;2664
".. Amapá";199;8;29;10;12;-;258
".. Tocantins";324;12;66;40;21;1;464
"Região Nordeste";12066;977;3037;1155;715;13;17963
".. Maranhão";1453;86;402;129;85;2;2157
".. Piauí";728;5;204;75;35;2;1049
".. Ceará";1649;168;468;222;122;1;2630
".. Rio Grande do Norte";675;52;181;61;30;-;999
".. Paraíba";874;43;230;75;49;-;1271
".. Pernambuco";2150;239;455;168;114;5;3131
".. Alagoas";823;30;149;69;44;-;1115
".. Sergipe";510;2;122;35;12;-;681
".. Bahia";3204;352;826;321;224;3;4930
"Região Sudeste";19421;2288;3409;1052;891;21;27082
".. Minas Gerais";4222;516;975;304;283;11;6311
".. Espírito Santo";816;68;180;65;46;3;1178
".. Rio de Janeiro";4622;973;595;155;221;1;6567
".. São Paulo";9761;731;1659;528;341;6;13026
"Região Sul";6135;307;1259;499;319;1;8520
".. Paraná";2331;149;505;193;121;-;3299
".. Santa Catarina";1338;39;286;132;81;-;1876
".. Rio Grande do Sul";2466;119;468;174;117;1;3345
"Região Centro-Oeste";3378;290;706;394;181;3;4952
".. Mato Grosso do Sul";633;22;134;72;50;-;911
".. Mato Grosso";789;67;164;100;30;-;1150
".. Goiás";1449;169;300;170;88;3;2179
".. Distrito Federal";507;32;108;52;13;-;712
"Total";44916;4058;9347;3468;2424;45;64258
 Fonte: MS/SVSA/CGIAE - Sistema de Informações sobre Mortalidade - SIM
 Notas:
 
 Dados finais disponíveis até 2024 - data de extração 02/12/2025.
 Dados de 2025 - Preliminares - data de extração 28/07/2026.
 Dados de 2026 - 1a prévia - data de extração 01/06/2026.
 
