 Óbitos de mulheres em idade fértil e óbitos maternos - Brasil
Óbitos mulheres idade fértil por Região/Unidade da Federação e Faixa Etária
Período:2022
"Região/Unidade da Federação";"10 a 14 anos";"15 a 19 anos";"20 a 29 anos";"30 a 39 anos";"40 a 49 anos";"Total"
"Região Norte";269;420;1205;1703;2856;6453
".. Rondônia";28;28;87;173;331;647
".. Acre";14;17;47;83;103;264
".. Amazonas";51;103;263;340;615;1372
".. Roraima";22;25;70;86;91;294
".. Pará";125;194;557;793;1322;2991
".. Amapá";9;21;76;83;133;322
".. Tocantins";20;32;105;145;261;563
"Região Nordeste";575;1011;3187;5319;9723;19815
".. Maranhão";86;134;441;671;1051;2383
".. Piauí";42;60;206;322;541;1171
".. Ceará";72;165;536;768;1429;2970
".. Rio Grande do Norte";17;50;195;302;545;1109
".. Paraíba";45;67;225;364;675;1376
".. Pernambuco";106;143;470;826;1777;3322
".. Alagoas";38;69;179;345;636;1267
".. Sergipe";12;36;112;209;387;756
".. Bahia";157;287;823;1512;2682;5461
"Região Sudeste";536;1181;4232;7616;15343;28908
".. Minas Gerais";122;285;935;1733;3516;6591
".. Espírito Santo";31;62;202;370;689;1354
".. Rio de Janeiro";110;261;1024;1718;3551;6664
".. São Paulo";273;573;2071;3795;7587;14299
"Região Sul";198;401;1478;2532;5012;9621
".. Paraná";79;180;624;988;1876;3747
".. Santa Catarina";41;96;310;593;1141;2181
".. Rio Grande do Sul";78;125;544;951;1995;3693
"Região Centro-Oeste";160;277;924;1533;2831;5725
".. Mato Grosso do Sul";37;49;184;325;527;1122
".. Mato Grosso";44;70;240;327;584;1265
".. Goiás";56;114;403;676;1283;2532
".. Distrito Federal";23;44;97;205;437;806
"Total";1738;3290;11026;18703;35765;70522
 Fonte: MS/SVSA/CGIAE - Sistema de Informações sobre Mortalidade - SIM
 Notas:
 
 Dados finais disponíveis até 2024 - data de extração 02/12/2025.
 Dados de 2025 - Preliminares - data de extração 28/07/2026.
 Dados de 2026 - 1a prévia - data de extração 01/06/2026.
 
