 Óbitos de mulheres em idade fértil e óbitos maternos - Brasil
Óbitos mulheres idade fértil por Região/Unidade da Federação e Tipo causa obstétr
Período:2023
"Região/Unidade da Federação";"Morte materna obstétrica direta";"Morte materna obstétrica indireta";"Morte materna obstétrica não especificada";"Total"
"Região Norte";147;312;4;463
".. Rondônia";8;18;-;26
".. Acre";6;5;-;11
".. Amazonas";41;79;3;123
".. Roraima";14;14;-;28
".. Pará";62;165;1;228
".. Amapá";10;14;-;24
".. Tocantins";6;17;-;23
"Região Nordeste";286;644;7;937
".. Maranhão";62;107;1;170
".. Piauí";17;29;-;46
".. Ceará";36;60;2;98
".. Rio Grande do Norte";14;32;-;46
".. Paraíba";16;40;-;56
".. Pernambuco";38;145;1;184
".. Alagoas";27;55;-;82
".. Sergipe";8;19;-;27
".. Bahia";68;157;3;228
"Região Sudeste";295;851;21;1167
".. Minas Gerais";70;127;7;204
".. Espírito Santo";12;43;-;55
".. Rio de Janeiro";71;334;4;409
".. São Paulo";142;347;10;499
"Região Sul";84;438;2;524
".. Paraná";44;121;-;165
".. Santa Catarina";13;99;1;113
".. Rio Grande do Sul";27;218;1;246
"Região Centro-Oeste";82;156;2;240
".. Mato Grosso do Sul";14;33;1;48
".. Mato Grosso";28;51;-;79
".. Goiás";32;58;1;91
".. Distrito Federal";8;14;-;22
"Total";894;2401;36;3331
 Fonte: MS/SVSA/CGIAE - Sistema de Informações sobre Mortalidade - SIM
 Notas:
 
 Dados finais disponíveis até 2024 - data de extração 02/12/2025.
 Dados de 2025 - Preliminares - data de extração 28/07/2026.
 Dados de 2026 - 1a prévia - data de extração 01/06/2026.
 
