 Óbitos de mulheres em idade fértil e óbitos maternos - Brasil
Óbitos mulheres idade fértil por Região/Unidade da Federação e Faixa Etária
Período:2021
"Região/Unidade da Federação";"10 a 14 anos";"15 a 19 anos";"20 a 29 anos";"30 a 39 anos";"40 a 49 anos";"Total"
"Região Norte";248;490;1412;2430;4034;8614
".. Rondônia";14;44;120;268;445;891
".. Acre";25;22;81;124;218;470
".. Amazonas";63;133;363;589;1077;2225
".. Roraima";13;32;75;110;152;382
".. Pará";106;208;575;1000;1613;3502
".. Amapá";12;16;84;126;155;393
".. Tocantins";15;35;114;213;374;751
"Região Nordeste";516;1098;3423;6813;12624;24474
".. Maranhão";92;165;410;802;1282;2751
".. Piauí";35;67;204;369;729;1404
".. Ceará";75;201;625;1085;1858;3844
".. Rio Grande do Norte";32;39;189;405;769;1434
".. Paraíba";31;83;228;511;1011;1864
".. Pernambuco";67;176;548;1181;2292;4264
".. Alagoas";29;56;200;407;767;1459
".. Sergipe";16;38;124;241;504;923
".. Bahia";139;273;895;1812;3412;6531
"Região Sudeste";497;1225;5340;11631;23284;41977
".. Minas Gerais";128;281;1118;2476;5081;9084
".. Espírito Santo";39;72;212;496;895;1714
".. Rio de Janeiro";106;281;1286;2525;5260;9458
".. São Paulo";224;591;2724;6134;12048;21721
"Região Sul";191;444;1890;3843;7749;14117
".. Paraná";83;218;813;1601;3277;5992
".. Santa Catarina";40;85;413;811;1601;2950
".. Rio Grande do Sul";68;141;664;1431;2871;5175
"Região Centro-Oeste";133;286;1100;2522;4628;8669
".. Mato Grosso do Sul";27;61;188;490;874;1640
".. Mato Grosso";32;68;274;600;1045;2019
".. Goiás";54;124;504;1137;2059;3878
".. Distrito Federal";20;33;134;295;650;1132
"Total";1585;3543;13165;27239;52319;97851
 Fonte: MS/SVSA/CGIAE - Sistema de Informações sobre Mortalidade - SIM
 Notas:
 
 Dados finais disponíveis até 2024 - data de extração 02/12/2025.
 Dados de 2025 - Preliminares - data de extração 28/07/2026.
 Dados de 2026 - 1a prévia - data de extração 01/06/2026.
 
