 Óbitos de mulheres em idade fértil e óbitos maternos - Brasil
Óbitos mulheres idade fértil por Região/Unidade da Federação e Capítulo CID-10
Período:2022
"Região/Unidade da Federação";"Cap I";"Cap II";"Cap III";"Cap IV";"Cap V";"Cap VI";"Cap VII";"Cap VIII";"Cap IX";"Cap X";"Cap XI";"Cap XII";"Cap XIII";"Cap XIV";"Cap XV";"Cap XVI";"Cap XVII";"Cap XVIII";"Cap XX";"Total"
"Região Norte";762;1553;79;261;33;169;-;-;831;380;276;35;85;163;234;1;47;302;1242;6453
".. Rondônia";67;159;7;23;4;18;-;-;88;38;23;2;3;10;11;-;2;37;155;647
".. Acre";24;56;4;7;2;3;-;-;31;23;13;1;5;8;5;-;5;19;58;264
".. Amazonas";159;374;16;53;1;50;-;-;151;57;55;7;24;38;55;-;11;71;250;1372
".. Roraima";31;57;4;11;-;9;-;-;43;6;11;2;7;11;21;-;4;11;66;294
".. Pará";392;702;34;133;15;69;-;-;390;205;132;19;36;81;109;1;21;143;509;2991
".. Amapá";48;80;6;8;1;2;-;-;39;20;16;-;9;6;12;-;3;11;61;322
".. Tocantins";41;125;8;26;10;18;-;-;89;31;26;4;1;9;21;-;1;10;143;563
"Região Nordeste";1743;4535;260;991;228;663;1;8;3326;1189;959;110;224;480;525;3;162;1032;3376;19815
".. Maranhão";211;525;34;122;13;69;-;1;397;164;106;13;32;59;85;1;18;132;401;2383
".. Piauí";85;256;24;55;10;44;1;1;206;60;63;4;10;27;53;-;12;58;202;1171
".. Ceará";251;753;24;110;31;100;-;1;446;181;153;21;39;61;79;-;31;46;643;2970
".. Rio Grande do Norte";105;284;17;53;4;35;-;1;199;64;52;7;14;27;35;1;10;36;165;1109
".. Paraíba";128;312;16;77;17;44;-;-;246;98;60;8;17;39;24;-;11;59;220;1376
".. Pernambuco";316;807;31;177;47;111;-;1;545;197;166;21;43;78;73;1;35;134;539;3322
".. Alagoas";119;257;13;75;14;33;-;1;243;79;60;5;10;41;35;-;2;83;197;1267
".. Sergipe";56;182;13;35;12;23;-;2;154;35;20;8;6;24;33;-;5;45;103;756
".. Bahia";472;1159;88;287;80;204;-;-;890;311;279;23;53;124;108;-;38;439;906;5461
"Região Sudeste";2546;7186;331;1396;348;927;-;13;5267;1659;1332;118;363;731;561;5;227;1751;4147;28908
".. Minas Gerais";515;1502;106;338;148;241;-;1;1002;362;323;31;78;156;125;-;54;494;1115;6591
".. Espírito Santo";121;309;9;85;23;62;-;-;233;41;66;6;7;28;35;-;16;21;292;1354
".. Rio de Janeiro";710;1606;76;349;70;174;-;5;1216;318;225;29;85;213;161;-;33;506;888;6664
".. São Paulo";1200;3769;140;624;107;450;-;7;2816;938;718;52;193;334;240;5;124;730;1852;14299
"Região Sul";1031;2600;62;470;147;362;-;2;1377;434;425;28;84;188;177;26;80;325;1803;9621
".. Paraná";318;983;22;200;71;142;-;2;550;168;191;15;35;88;69;1;28;105;759;3747
".. Santa Catarina";225;626;15;75;12;85;-;-;331;111;89;9;13;39;41;1;15;60;434;2181
".. Rio Grande do Sul";488;991;25;195;64;135;-;-;496;155;145;4;36;61;67;24;37;160;610;3693
"Região Centro-Oeste";566;1344;63;261;54;191;-;1;918;255;290;19;83;138;141;-;35;149;1217;5725
".. Mato Grosso do Sul";105;218;7;48;4;41;-;1;199;71;51;5;12;34;29;-;6;29;262;1122
".. Mato Grosso";133;266;10;65;15;40;-;-;186;47;64;2;15;23;34;-;5;53;307;1265
".. Goiás";264;598;32;117;25;78;-;-;414;116;136;11;45;67;57;-;17;46;509;2532
".. Distrito Federal";64;262;14;31;10;32;-;-;119;21;39;1;11;14;21;-;7;21;139;806
"Total";6648;17218;795;3379;810;2312;1;24;11719;3917;3282;310;839;1700;1638;35;551;3559;11785;70522
 Fonte: MS/SVSA/CGIAE - Sistema de Informações sobre Mortalidade - SIM
 Notas:
 
 Dados finais disponíveis até 2024 - data de extração 02/12/2025.
 Dados de 2025 - Preliminares - data de extração 28/07/2026.
 Dados de 2026 - 1a prévia - data de extração 01/06/2026.
 
