 Óbitos fetais - Brasil
Óbitos p/Residênc por Região/Unidade da Federação e Capítulo CID-10
Período:2020
"Região/Unidade da Federação";"Cap I";"Cap XVI";"Cap XVII";"Total"
"Região Norte";13;3389;160;3562
".. Rondônia";-;219;24;243
".. Acre";5;174;9;188
".. Amazonas";1;893;27;921
".. Roraima";1;131;11;143
".. Pará";6;1549;63;1618
".. Amapá";-;205;7;212
".. Tocantins";-;218;19;237
"Região Nordeste";84;9071;476;9631
".. Maranhão";6;1322;47;1375
".. Piauí";2;512;23;537
".. Ceará";8;1306;77;1391
".. Rio Grande do Norte";10;497;26;533
".. Paraíba";2;628;21;651
".. Pernambuco";32;1281;111;1424
".. Alagoas";2;560;34;596
".. Sergipe";-;369;16;385
".. Bahia";22;2596;121;2739
"Região Sudeste";249;9507;825;10581
".. Minas Gerais";24;2303;210;2537
".. Espírito Santo";3;471;33;507
".. Rio de Janeiro";170;2250;143;2563
".. São Paulo";52;4483;439;4974
"Região Sul";30;2592;259;2881
".. Paraná";7;957;99;1063
".. Santa Catarina";6;687;72;765
".. Rio Grande do Sul";17;948;88;1053
"Região Centro-Oeste";40;2119;179;2338
".. Mato Grosso do Sul";7;430;34;471
".. Mato Grosso";4;495;45;544
".. Goiás";14;870;68;952
".. Distrito Federal";15;324;32;371
"Total";416;26678;1899;28993
 Fonte: MS/SVSA/CGIAE - Sistema de Informações sobre Mortalidade - SIM
 Notas:
 
 Dados finais disponíveis até 2024 - data de extração 02/12/2025.
 Dados de 2025 - Preliminares - data de extração 28/07/2026.
 Dados de 2026 - 1a prévia - data de extração 01/06/2026.
 
