 Óbitos fetais - Brasil
Óbitos p/Residênc por Região/Unidade da Federação e Local ocorrência
Período:2024
"Região/Unidade da Federação";"Hospital";"Outro estabelecimento de saúde";"Domicílio";"Via pública";"Outros";"Ignorado";"Total"
"Região Norte";2649;38;237;27;75;20;3046
".. Rondônia";169;3;9;2;3;-;186
".. Acre";132;2;13;1;4;2;154
".. Amazonas";650;3;93;5;29;4;784
".. Roraima";136;1;5;1;5;1;149
".. Pará";1242;23;103;15;26;9;1418
".. Amapá";119;4;4;-;3;-;130
".. Tocantins";201;2;10;3;5;4;225
"Região Nordeste";6985;146;271;58;81;56;7597
".. Maranhão";995;11;67;13;27;15;1128
".. Piauí";386;4;19;5;2;3;419
".. Ceará";928;6;38;5;7;2;986
".. Rio Grande do Norte";377;11;10;2;3;2;405
".. Paraíba";439;2;14;-;5;3;463
".. Pernambuco";1062;55;28;10;13;7;1175
".. Alagoas";500;5;16;1;4;3;529
".. Sergipe";268;-;9;-;1;2;280
".. Bahia";2030;52;70;22;19;19;2212
"Região Sudeste";8472;118;171;40;37;23;8861
".. Minas Gerais";2097;12;68;15;10;15;2217
".. Espírito Santo";406;35;4;-;2;1;448
".. Rio de Janeiro";1892;10;26;5;3;1;1937
".. São Paulo";4077;61;73;20;22;6;4259
"Região Sul";2579;23;67;8;17;14;2708
".. Paraná";1022;13;18;1;7;-;1061
".. Santa Catarina";701;2;23;4;6;3;739
".. Rio Grande do Sul";856;8;26;3;4;11;908
"Região Centro-Oeste";2033;20;68;9;14;8;2152
".. Mato Grosso do Sul";377;3;19;2;4;1;406
".. Mato Grosso";476;6;20;5;4;-;511
".. Goiás";855;11;20;1;6;3;896
".. Distrito Federal";325;-;9;1;-;4;339
"Total";22718;345;814;142;224;121;24364
 Fonte: MS/SVSA/CGIAE - Sistema de Informações sobre Mortalidade - SIM
 Notas:
 
 Dados finais disponíveis até 2024 - data de extração 02/12/2025.
 Dados de 2025 - Preliminares - data de extração 28/07/2026.
 Dados de 2026 - 1a prévia - data de extração 01/06/2026.
 
