 Óbitos fetais - Brasil
Óbitos p/Residênc por Região/Unidade da Federação e Duração gestação
Período:2018
"Região/Unidade da Federação";"Menos de 22 semanas";"22 a 27 semanas";"28 a 31 semanas";"32 a 36 semanas";"37 a 41 semanas";"42 semanas e mais";"Ignorado";"Total"
"Região Norte";281;665;516;900;949;30;267;3608
".. Rondônia";12;61;40;71;53;1;20;258
".. Acre";6;38;30;38;60;-;10;182
".. Amazonas";52;165;130;240;237;10;52;886
".. Roraima";8;17;24;41;28;-;11;129
".. Pará";156;305;217;403;450;15;140;1686
".. Amapá";29;30;34;48;60;1;21;223
".. Tocantins";18;49;41;59;61;3;13;244
"Região Nordeste";656;1964;1545;2593;2721;77;815;10371
".. Maranhão";124;238;199;397;470;23;105;1556
".. Piauí";31;117;87;183;175;5;45;643
".. Ceará";87;330;250;384;347;10;75;1483
".. Rio Grande do Norte";47;122;81;123;91;2;24;490
".. Paraíba";24;131;115;161;175;4;40;650
".. Pernambuco";70;263;248;380;390;6;197;1554
".. Alagoas";34;102;86;139;190;6;74;631
".. Sergipe";27;60;49;121;125;5;9;396
".. Bahia";212;601;430;705;758;16;246;2968
"Região Sudeste";787;2854;1910;2585;2155;15;939;11245
".. Minas Gerais";223;709;404;582;568;4;209;2699
".. Espírito Santo";18;110;75;109;111;-;62;485
".. Rio de Janeiro";162;636;539;699;518;3;190;2747
".. São Paulo";384;1399;892;1195;958;8;478;5314
"Região Sul";209;820;540;767;608;2;152;3098
".. Paraná";91;311;191;261;229;-;51;1134
".. Santa Catarina";49;218;121;192;162;2;29;773
".. Rio Grande do Sul";69;291;228;314;217;-;72;1191
"Região Centro-Oeste";151;538;421;647;505;7;99;2368
".. Mato Grosso do Sul";36;86;77;128;73;1;25;426
".. Mato Grosso";29;126;101;148;114;2;19;539
".. Goiás";58;219;172;268;229;4;41;991
".. Distrito Federal";28;107;71;103;89;-;14;412
"Total";2084;6841;4932;7492;6938;131;2272;30690
 Fonte: MS/SVSA/CGIAE - Sistema de Informações sobre Mortalidade - SIM
 Notas:
 
 Dados finais disponíveis até 2024 - data de extração 02/12/2025.
 Dados de 2025 - Preliminares - data de extração 28/07/2026.
 Dados de 2026 - 1a prévia - data de extração 01/06/2026.
 
