 Óbitos fetais - Brasil
Óbitos p/Residênc por Região/Unidade da Federação e Capítulo CID-10
Período:2025
"Região/Unidade da Federação";"Cap I";"Cap XVI";"Cap XVII";"Total"
"Região Norte";39;3054;165;3258
".. Rondônia";-;175;21;196
".. Acre";3;129;6;138
".. Amazonas";26;853;42;921
".. Roraima";-;134;6;140
".. Pará";9;1436;70;1515
".. Amapá";-;113;7;120
".. Tocantins";1;214;13;228
"Região Nordeste";97;7183;520;7800
".. Maranhão";10;1062;44;1116
".. Piauí";1;443;35;479
".. Ceará";8;889;90;987
".. Rio Grande do Norte";2;364;37;403
".. Paraíba";6;450;36;492
".. Pernambuco";37;1020;98;1155
".. Alagoas";10;444;31;485
".. Sergipe";1;325;15;341
".. Bahia";22;2186;134;2342
"Região Sudeste";131;8178;768;9077
".. Minas Gerais";24;1967;225;2216
".. Espírito Santo";8;473;40;521
".. Rio de Janeiro";78;1752;150;1980
".. São Paulo";21;3986;353;4360
"Região Sul";34;2383;295;2712
".. Paraná";10;919;123;1052
".. Santa Catarina";4;671;83;758
".. Rio Grande do Sul";20;793;89;902
"Região Centro-Oeste";35;2032;159;2226
".. Mato Grosso do Sul";6;388;33;427
".. Mato Grosso";7;473;35;515
".. Goiás";13;854;64;931
".. Distrito Federal";9;317;27;353
"Total";336;22830;1907;25073
 Fonte: MS/SVSA/CGIAE - Sistema de Informações sobre Mortalidade - SIM
 Notas:
 
 Dados finais disponíveis até 2024 - data de extração 02/12/2025.
 Dados de 2025 - Preliminares - data de extração 28/07/2026.
 Dados de 2026 - 1a prévia - data de extração 01/06/2026.
 
