 Óbitos por causas evitáveis em menores de 5 anos - Brasil
Óbitos p/Residênc por Região/Unidade da Federação e Faixa Etária
Período:2018
"Região/Unidade da Federação";"0 a 6 dias";"7 a 27 dias";"28 a 364 dias";"Menor 1 ano (ign)";"1 a 4 anos";"Total"
"Região Norte";2564;756;1579;1;870;5770
".. Rondônia";173;56;128;-;45;402
".. Acre";134;43;96;-;49;322
".. Amazonas";643;192;418;-;257;1510
".. Roraima";127;48;91;-;54;320
".. Pará";1152;327;654;1;359;2493
".. Amapá";164;39;91;-;40;334
".. Tocantins";171;51;101;-;66;389
"Região Nordeste";6235;1791;3286;2;1806;13120
".. Maranhão";886;253;509;1;329;1978
".. Piauí";393;115;227;-;120;855
".. Ceará";863;271;460;-;261;1855
".. Rio Grande do Norte";314;93;157;-;98;662
".. Paraíba";358;124;221;-;116;819
".. Pernambuco";908;297;509;-;293;2007
".. Alagoas";357;97;204;-;114;772
".. Sergipe";303;132;141;-;71;647
".. Bahia";1853;409;858;1;404;3525
"Região Sudeste";6410;2467;3934;2;2041;14854
".. Minas Gerais";1573;521;795;-;477;3366
".. Espírito Santo";299;120;181;-;103;703
".. Rio de Janeiro";1372;480;940;2;452;3246
".. São Paulo";3166;1346;2018;-;1009;7539
"Região Sul";2093;770;1072;-;638;4573
".. Paraná";874;306;433;-;297;1910
".. Santa Catarina";502;186;262;-;123;1073
".. Rio Grande do Sul";717;278;377;-;218;1590
"Região Centro-Oeste";1564;490;846;2;514;3416
".. Mato Grosso do Sul";264;73;164;1;98;600
".. Mato Grosso";366;107;239;1;147;860
".. Goiás";659;235;340;-;212;1446
".. Distrito Federal";275;75;103;-;57;510
"Total";18866;6274;10717;7;5869;41733
 Fonte: MS/SVSA/CGIAE - Sistema de Informações sobre Mortalidade - SIM
 Notas:
 
 Dados finais disponíveis até 2024 - data de extração 02/12/2025.
 Dados de 2025 - Preliminares - data de extração 28/07/2026.
 Dados de 2026 - 1a prévia - data de extração 01/06/2026.
 
